topic,difficulty,green_types,red_type_d1,red_type_d2,red_type_d3
How globalization simultaneously homogenizes consumer culture and generates new localized forms of cultural resistance and assertion,4,"['G4', 'G5']",R6,R7,R4
The philosophical tension between protecting individual rights and maximizing collective welfare in public health emergencies,4,"['G2', 'G3']",R1,R4,R5
How utilitarian moral frameworks justify policies that impose costs on minorities to maximize aggregate social benefits,4,"['G1', 'G5']",R3,R7,R2
"The competing philosophical arguments for retributive, rehabilitative, and deterrence-based approaches to criminal punishment",4,"['G1', 'G4']",R1,R4,R3
How structural inequality and determinism complicate moral attributions of individual responsibility for life outcomes,5,"['G2', 'G5']",R5,R2,R7
The ethical obligations that arise when employees discover organizational wrongdoing that conflicts with loyalty duties,4,"['G3', 'G4']",R6,R4,R3
How trained moral intuitions and reasoned ethical principles interact—and sometimes conflict—in real-world decision-making,5,"['G1', 'G3']",R2,R1,R7
"The philosophical implications of artificial general intelligence for established concepts of consciousness, agency, and personhood",5,"['G2', 'G5']",R6,R3,R5
"How egalitarian, libertarian, and utilitarian frameworks reach incompatible conclusions about just distribution of social resources",5,"['G3', 'G4']",R4,R5,R1
"The ethical challenges posed by germline genetic enhancement for human dignity, equal opportunity, and future autonomy",4,"['G1', 'G5']",R7,R2,R6
How just war theory's proportionality and discrimination principles apply to asymmetric conflicts involving non-state actors,4,"['G2', 'G3']",R4,R6,R1
How proportional versus majoritarian electoral systems produce systematically different political representation outcomes,3,"['G2', 'G4']",R5,R3,R7
The role of civil society and independent media in holding governments accountable within fragile or backsliding democracies,3,"['G1', 'G5']",R4,R2,R7
How federal constitutional arrangements distribute authority between central and regional governments in diverse polities,3,"['G1', 'G3']",R1,R5,R6
The structural conditions that make authoritarian regimes most vulnerable to elite defection and popular mobilization,4,"['G2', 'G4']",R2,R3,R5
How binding international treaty obligations constrain domestic policy choices and limit expressions of national sovereignty,5,"['G2', 'G5']",R1,R2,R3
The mechanisms through which partisan gerrymandering of electoral districts distorts representation and entrenches incumbents,3,"['G4', 'G5']",R6,R4,R7
How international economic sanctions affect the strategic calculations of targeted regimes versus the welfare of civilian populations,5,"['G1', 'G3']",R6,R7,R1
What distinguishes peace agreements that achieve durable stability from those that collapse into renewed armed conflict,3,"['G2', 'G4']",R4,R3,R2
How populist political movements exploit anti-expertise sentiment to challenge technocratic governance and policy institutions,3,"['G1', 'G3']",R5,R6,R7
The role of constitutional judicial review in protecting minority rights against the tyranny of democratic majoritarian processes,4,"['G2', 'G5']",R1,R2,R3
How industrial monoculture agriculture increases ecosystem vulnerability to pest outbreaks and pathogen-driven crop failure,4,"['G1', 'G5']",R5,R6,R4
"The economic, social, and ecological trade-offs involved in an energy system transition from coal to renewable sources",4,"['G3', 'G4']",R4,R5,R2
How well-enforced marine protected areas support the recovery of overexploited fish populations and coastal livelihoods,3,"['G1', 'G3']",R3,R1,R7
The relationship between urban green infrastructure investment and both ecological connectivity and human population well-being,3,"['G2', 'G4']",R3,R6,R4
How permafrost degradation in Arctic and sub-Arctic regions accelerates climate feedback loops through methane and CO2 release,5,"['G3', 'G5']",R7,R1,R2
