exam,section,text_no,n,pos_in_block,type,negative,cited_line,key,stem,opt1,opt2,opt3,opt4,locator_in_stem,answer_home,answer_span_sentences,scan_sufficient,scan_comment,correct_option_relation,correct_shares_wording,key_looks_wrong,key_comment,key_reliability,mech1,why1,mech2,why2,mech3,why3,mech4,why4
apr_2014,2,1,13,1,vocab_in_context,False,line 3,2,"The word ""mammoth"" (line 3) is closest in meaning to -",mysterious,huge,prehistoric,circular,line_number,p1,3,yes_local,The passage's opening word is 'Huge'; the synonym is two sentences above.,paraphrase,True,False,,ok,wrong_location,'Mysterious' is a real passage word from the next paragraph.,,,wrong_location,'Prehistoric' is a real passage word from the next paragraph.,wrong_location,'Circle' appears one sentence earlier describing the layout.
apr_2014,2,1,14,2,explicit_detail,False,,1,"According to the second paragraph, the construction of Stonehenge began -",in the Late Stone Age,in 1600 B.C.E.,"1,500 years ago",after the Late Stone Age,paragraph_number,p2,1,yes_local,'Began building ... during the Late Stone Age' answers it in one clause.,paraphrase,True,False,,ok,,,right_words_wrong_relation,"1600 B.C.E. is the completion date, not the start.",right_words_wrong_relation,"1,500 years is the build duration, not an age.",contradiction,"Building began during, not after, the Late Stone Age."
apr_2014,2,1,15,3,paragraph_purpose,False,,2,The main purpose of the last paragraph is to describe -,how Stonehenge was first built,what Stonehenge was used for,who lived near Stonehenge,how the dead were buried at Stonehenge,ordinal_position,p3,5,needs_paragraph,"Ceremonies, calendar and planting are three uses; any one alone looks like the topic.",generalization,True,False,,ok,wrong_location,Construction is the previous paragraph's subject.,,,too_narrow,The farmers clause is one closing detail.,right_words_wrong_relation,Burial is named as a use; no method is described.
apr_2014,2,1,16,4,explicit_detail,False,,1,"According to the last paragraph, on the first day of spring at Stonehenge.",the sun always shone on a specific rock,a religious ceremony was held,farmers planted their crops,experts are not sure what took place,named_entity_or_term,p3,1,yes_local,'The first day of spring' is parenthesized in the very sentence that answers it.,paraphrase,True,False,,ok,,,not_stated,"Ceremonies are mentioned generally, never tied to that day.",right_words_wrong_relation,"Planting was only perhaps timed by Stonehenge, not fixed to the equinox.",wrong_location,Lifts the paragraph's opening hedge about Stonehenge as a whole.
apr_2014,2,1,17,5,title,False,,4,A good title for the text would be -,The First Calendar: Stonehenge,Stonehenge and Prehistoric Farming,Religious Ceremonies at Stonehenge,"Stonehenge: A 5,000-Year-Old Monument",none,whole,99,no_locator,"Only a title spanning description, dating and uses covers all three paragraphs.",generalization,True,False,,ok,overreach,It served as a calendar; it is never called the first.,too_narrow,Farming is a speculative closing clause.,too_narrow,One of several stated uses.,,
apr_2014,2,2,18,1,explicit_detail,False,,3,"According to the first paragraph, what is it that ""most people . . . disagree about""?",whether it is fair to treat men and women differently,whether men and women are treated equally by the criminal justice system,why the criminal justice system does not treat men and women the same,why women are more likely than men to commit certain types of crimes,quoted_phrase,p1,2,yes_local,'Agree the answer is no ... disagree about why' is one sentence; the why is the point.,paraphrase,True,False,,ok,not_stated,Fairness of differential treatment is never the stated dispute.,contradiction,That is precisely what most people agree on.,,,not_stated,Women's crime rates are never discussed.
apr_2014,2,2,19,2,explicit_detail,False,,2,"According to the second paragraph, ""some analysts"" -",ignore the justice system's bias in favor of female criminals,argue that female criminals are treated more leniently than men,claim that the justice system is not biased against women victims,believe that female criminals should be treated more favorably,quoted_phrase,p1,3,yes_local,"'Some analysts' is verbatim; note it sits in paragraph one, not the stem's second.",paraphrase,True,False,,ok,right_words_wrong_relation,Others ignore this bias; the analysts are the ones raising it.,,,not_stated,'Another bias' concedes the first rather than denying it.,right_words_wrong_relation,They describe the leniency; they do not advocate it.
apr_2014,2,2,20,3,vocab_in_context,False,line 10,1,"In line 10, ""concede"" means -",admit,disagree,overlook,expect,line_number,p2,2,yes_local,"The following 'However, they argue' marks the verb as a reluctant admission.",paraphrase,False,False,,ok,,,contradiction,The sentence grants the point before objecting to it.,wrong_location,'Overlook' is lifted verbatim from the line just above.,other:wrong_sense,No expectation sense fits the sentence.
apr_2014,2,2,21,4,explicit_detail,False,line 19,3,The statistical studies mentioned in line 19 -,support Young's position but not Kaminer's,support Kaminer's position but not Young's,provide evidence for both Young's and Kaminer's positions,show that both Young's and Kaminer's positions are mistaken,line_number,whole,4,needs_whole_text,Line 19 says 'both sides'; only paragraphs one and two identify who those sides are.,synthesis,True,False,,ok,half_true,Names one supported side and drops the other.,half_true,Names one supported side and drops the other.,,,contradiction,"The studies appear to support the positions, not refute them."
apr_2014,2,2,22,5,title,False,,3,A good title for the text would be -,Fighting for Fairness: Cathy Young and the Women's Freedom Network,A Fearful Freedom: Wendy Kaminer's Study of the American Legal System,The U.S. Justice System: Is Its Treatment of Women Harsh or Lenient?,Women Who Commit Crimes: Unnatural and Monstrous,none,whole,99,no_locator,Only a title holding both the leniency and the severity claim covers the whole debate.,generalization,True,False,,ok,too_narrow,One named source on one side of the argument.,too_narrow,One named source on the other side.,,,right_words_wrong_relation,"Verbatim phrase reporting a prejudice the text examines, not endorses."
apr_2017,1,1,13,1,paragraph_purpose,False,,2,The main purpose of the first paragraph is to -,describe the beginnings of the Space Age,discuss one of the challenges faced by travelers,explain how to preserve food,compare astronauts with sailors,paragraph_number,p1,3,needs_paragraph,The closing sentence alone reads as 'the Space Age begins'; the travel-food thread runs through all three.,generalization,True,False,,ok,too_narrow,The Space Age enters only in the final sentence.,,,right_words_wrong_relation,"Preserving is mentioned as a fact, never explained as a method.",not_stated,Astronauts do not appear in this paragraph at all.
apr_2017,1,1,14,2,vocab_in_context,False,line 4,4,"In line 4, ""posed"" could best be replaced with -",lost,spent,chose,brought,line_number,p1,1,yes_local,"One sentence: the Space Age 'posed new challenges', then names them. Enough.",inference_one_step,False,False,,ok,other:wrong_collocation,One cannot lose challenges that did not exist before.,other:wrong_collocation,Spending does not combine with challenges.,other:wrong_collocation,An era cannot choose the difficulties it creates.,,
apr_2017,1,1,15,3,paragraph_purpose,False,,3,The main purpose of the second paragraph is to -,introduce one of the first American astronauts,describe the first meal eaten in space,discuss how food eaten in space has changed over time,explain how astronauts' food is prepared,paragraph_number,p2,6,needs_paragraph,First half is entirely Glenn's 1962 meal; the 'today' contrast only arrives at the end.,generalization,True,False,,ok,too_narrow,"Glenn is the opening example, not the paragraph's subject.",too_narrow,The first meal fills half the paragraph but not its purpose.,,,not_stated,Preparation of the food is never described.
apr_2017,1,1,16,4,explicit_detail,False,,2,"According to the second paragraph, John Glenn in space.",used utensils to eat the first meal,showed that it was possible to eat,was surprised that food tasted good,ate his favorite foods,named_entity_or_term,p2,3,needs_paragraph,Scanning 'Glenn' hits the tube-meal sentences; the 'did prove' clause sits three sentences later.,paraphrase,True,False,,ok,wrong_location,"Utensils belong to today's trays, not to Glenn's tube.",,,contradiction,The text calls it hardly a pleasant eating experience.,not_stated,No preference of Glenn's is ever mentioned.
apr_2017,1,1,17,5,reference_word,False,line 20,3,"In line 20, ""the real thing"" refers to -",the space station,a freezer,ice cream,electronic systems,line_number,p3,2,yes_local,The same phrase appears at line 17 about ice cream taste; line 20 repeats it.,paraphrase,True,False,,ok,wrong_location,Skylab appears in the same sentence but is the setting.,wrong_location,"The freezer is the enabler in the same sentence, not the referent.",,,wrong_location,Electronic systems belong to the preceding danger sentence.
apr_2017,1,2,18,1,main_idea,False,,1,The main purpose of the text is to -,discuss a personality disorder and its relation to violent behavior,summarize the behavioral characteristics of APD,describe a USC study on violent crime,present two opposing theories about antisocial behavior,none,whole,99,no_locator,"Nothing to scan; each paragraph on its own supports a different, narrower option.",generalization,True,False,,ok,,,too_narrow,Behavioural traits fill only the first paragraph.,too_narrow,The USC study is one of three paragraphs.,right_words_wrong_relation,Raine qualifies the finding; he does not oppose it with a theory.
apr_2017,1,2,19,2,explicit_detail,False,,2,"According to the first paragraph, it is surprising that people with APD -",are less impulsive than most people,seem to get along well with others,commit 80 percent of violent crimes in the United States,do not apologize for their behavior,paragraph_number,p1,1,yes_local,Scan for 'Ironically'; the same sentence says sufferers are sociable and charming.,paraphrase,False,False,,ok,contradiction,The text says they tend to be impulsive.,,,right_words_wrong_relation,"80 percent of violent convicts have APD, not the reverse.",contradiction,They may apologize; what they lack is regret.
apr_2017,1,2,20,3,paragraph_purpose,False,,3,The main purpose of the second paragraph is to -,explain the relationship between nerve cell volume and neural activity,explain how USC researchers measured neural activity in the prefrontal cortex,present findings about the connection between APD and the prefrontal cortex,describe how violent actions affect neural activity,paragraph_number,p2,3,needs_paragraph,"Both study sentences are needed: subjects with APD, and what their prefrontal cortex showed.",generalization,True,False,,ok,right_words_wrong_relation,"Volume and activity are two parallel findings, not linked to each other.",not_stated,The measuring method is never described.,,,right_words_wrong_relation,Reverses the direction: brain deficit precedes the behaviour.
apr_2017,1,2,21,4,inference,False,,1,It can be inferred from the text that a lower volume of cells in the prefrontal cortex -,may cause violent behavior,can be treated,is often found in men who do not have APD,is responsible for self-restraint,named_entity_or_term,p2-p3,4,needs_whole_text,"P2 gives the correlation, p3 supplies the hedge 'may'; the local hit supports a wrong option.",inference_one_step,False,False,,ok,,,not_stated,Treatment is never mentioned anywhere in the text.,overreach,"Raine says some, not often, and says nothing about men specifically.",right_words_wrong_relation,The cortex governs self-restraint; low volume does not.
apr_2017,1,2,22,5,vocab_in_context,False,line 15,3,"A ""deficiency"" (line 15) is -",an impulse,a response,a shortage,an account,line_number,p3,2,yes_local,Line 15 sits beside 'prefrontal deficits' and echoes p2's 'extremely low' volume.,inference_one_step,False,False,,ok,wrong_location,Echoes 'impulsive' from the first paragraph.,other:wrong_collocation,Nothing in the sentence involves responding.,,,wrong_location,Echoes 'taken into account' two lines later.
apr_2017,2,1,13,1,paragraph_purpose,False,,3,The main purpose of the first paragraph is to -,explain why people collect pencils,describe the work of an Iraqi journalist,discuss one man's hobby,discuss important events in Iraq's history,paragraph_number,p1,4,needs_paragraph,"Journalist, history and quotation each pull toward a different option; only the whole shows the hobby frame.",generalization,True,False,,ok,overreach,One collector's motive is generalized to people who collect pencils.,right_words_wrong_relation,He is called a journalist; his journalism is never described.,,,too_narrow,History appears only as what the pencils commemorate.
apr_2017,2,1,14,2,explicit_detail,False,,4,"According to the second paragraph, Ibrahim -",takes part in sporting events,paid for his pencils in fils,knew King Faisal I and Prime Minister Qasim,has a pencil that is almost a hundred years old,paragraph_number,p2,2,needs_paragraph,"Three wrong options quote the paragraph's own nouns; only the 1918 date, plus arithmetic, decides.",inference_one_step,False,False,,ok,right_words_wrong_relation,Pencils are souvenirs of sporting events; he does not compete.,right_words_wrong_relation,Prices are marked in fils; he did not pay in them.,right_words_wrong_relation,Pencils honour those leaders; no acquaintance is claimed.,,
apr_2017,2,1,15,3,vocab_in_context,False,line 14,2,"In line 14, ""imported"" could best be replaced by -",commemorative,made outside of Iraq,cheaper than they used to be,part of Ibrahim's collection,line_number,p3,2,yes_local,"Same sentence explains the Iraqi factories closed, so pencils come from elsewhere.",inference_one_step,True,False,,ok,wrong_location,'Commemorative' is p2's word for his collection.,,,not_stated,No price trend for pencils is given.,contradiction,"Most of his own pencils were made locally, not imported."
apr_2017,2,1,16,4,explicit_detail,False,,2,"According to the last paragraph, Ibrahim -",paid a great deal of money for his pencils,will not sell his pencils,was given souvenir pencils by Asharq Al-Awsat,does not show his collection to many people,ordinal_position,p3,2,needs_paragraph,No phrase to scan; must read to the interview question about selling and his refusal.,paraphrase,True,False,,ok,contradiction,The text says an ordinary pencil costs very little.,,,wrong_entity,The newspaper interviewed him; it gave him nothing.,not_stated,Whether he displays the collection is never mentioned.
apr_2017,2,1,17,5,explicit_detail,False,,2,"According to the text, Ibrahim is known as Abu Iqlam because he -",used to sell pencils,has many pencils,owned a pencil factory,writes about pencils,named_entity_or_term,p1,1,yes_local,Scan 'Abu Iqlam'; the same sentence gives the hobby and the huge collection.,paraphrase,False,False,,ok,not_stated,"He is a collector, never described as a seller.",,,wrong_location,Factories appear in p3 and were not his.,right_words_wrong_relation,"He is a journalist, but writes nothing about pencils."
apr_2017,2,2,18,1,title,False,,2,An appropriate title for this text would be -,John Howard Griffin: His Life and Career,Black Like Me: John Howard Griffin's Unusual Journey,John Howard Griffin: Equal Rights Advocate,Black Like Me: A History of Discrimination in the American South,none,whole,99,no_locator,Nothing to scan; the title must centre the six-week experiment that three paragraphs build toward.,synthesis,True,False,,ok,overreach,"The text is about one experiment, not a whole life and career.",,,too_narrow,Advocacy is one clause of the closing sentence.,overreach,One man's six weeks is not a history of southern discrimination.
apr_2017,2,2,19,2,paragraph_purpose,False,,3,The main purpose of the first paragraph is to -,present Griffin's unique personal qualities,describe Griffin's first exposure to blacks,summarize Griffin's early life experiences,explain how Griffin became aware of racism,paragraph_number,p1,4,needs_paragraph,"Each sentence (gifts, France, war) matches a different option; only the sequence shows a life summary.",generalization,False,False,,ok,too_narrow,Perfect pitch and memory occupy one clause.,too_narrow,The France episode is one of four events.,,,half_true,"France hints at racism, but war and music are not about that."
apr_2017,2,2,20,3,paragraph_purpose,False,,1,The main purpose of the third paragraph is to -,describe the discrimination Griffin experienced as a black man,discuss the employment opportunities for blacks in the South,describe the black communities that Griffin visited,discuss Griffin's views on segregation in the South,paragraph_number,p3,6,needs_paragraph,"Work, communities and buses are each one sentence; the discrimination frame comes from the whole run.",generalization,True,False,,ok,,,too_narrow,Menial work is one sentence in a longer list.,too_narrow,The black communities get one sentence near the end.,right_words_wrong_relation,"The paragraph reports lived experience, not stated views."
apr_2017,2,2,21,4,inference,False,line 19,4,"It can be inferred that ""menial work"" (line 19) -",is difficult to find,requires special training,is dangerous,is not well respected,line_number,p3,1,yes_local,"'Despite being well educated, only the most menial work' carries the whole inference.",inference_one_step,False,False,,ok,contradiction,"It was the only work he could find, so readily available.",contradiction,'Despite being well educated' implies no training is needed.,not_stated,Danger is never attached to the work he found.,,
apr_2017,2,2,22,5,explicit_detail,False,,3,"According to the last paragraph, Black Like Me -",was Griffin's most successful book,was not published in the South,received mixed responses,created dialogue between whites and blacks,named_entity_or_term,p4,2,needs_paragraph,Scanning the title hits the first sentence; admiration and hostility appear two sentences later.,synthesis,False,False,,ok,not_stated,No other book by Griffin is mentioned for comparison.,not_stated,Where the book was published is never discussed.,,,wrong_entity,Griffin promoted the dialogue; the book is not credited with it.
autumn_2018,1,1,13,1,paragraph_purpose,False,,3,The main purpose of the second paragraph is to -,discuss the social and political influences on Rumi's work,describe Rumi's relationship with Shams al-Din,discuss Rumi's career as an Islamic scholar and teacher,describe Rumi's life before he became a poet,paragraph_number,p2,5,needs_paragraph,Every sentence is one biographical stage; only the full paragraph shows the arc.,generalization,True,True,"Option 4 is correct: the paragraph covers birth, exile, Konya, scholarship and the turn to poetry, i.e. his whole pre-poet life.",SUSPECT,right_words_wrong_relation,Upheaval is setting; no influence on his work is claimed.,too_narrow,Shams al-Din appears in the paragraph's final sentence only.,too_narrow,Recorded key; his scholarly career is one clause he then abandons.,,
autumn_2018,1,1,14,2,explicit_detail,False,,2,"According to the second paragraph, Shams al-Din -",wrote several scholarly works,greatly inspired Rumi,was a well-known teacher in Konya,abandoned his career after meeting Rumi,paragraph_number,p2,1,yes_local,Scan the name; 'awakened Rumi's own spirituality' is in the same clause.,paraphrase,False,False,,SUSPECT,not_stated,Shams al-Din's own writings are never mentioned.,,,right_words_wrong_relation,"Rumi, not Shams, was the scholar and teacher in Konya.",right_words_wrong_relation,Rumi abandoned his career; the sentence's subject is swapped.
autumn_2018,1,1,15,3,paragraph_purpose,False,,4,The main purpose of the third paragraph is to -,present the innovative aspects of Rumi's poetry,discuss the difficulties of translating Rumi's writings,describe Rumi's place in Persian and Turkish culture,show how widespread Rumi's popularity is,paragraph_number,p3,6,needs_paragraph,"Reach, sales figures and US popularity accumulate; any single sentence yields a narrower option.",generalization,False,False,,SUSPECT,right_words_wrong_relation,"'Innovative' describes Barks's translations, not Rumi's poetry.",not_stated,Translations are counted; no difficulty is ever discussed.,too_narrow,Persian and Turkish literature is one sentence of many.,,
autumn_2018,1,1,16,4,paragraph_purpose,False,,3,The main purpose of the last paragraph is to -,argue that Rumi is the most inspirational poet of all time,discuss the wisdom of Rumi,explain why Rumi's poetry is liked by modern readers,present Coleman Barks's works on Rumi's poetry,ordinal_position,p4,5,needs_paragraph,The opening 'It may seem odd' question is answered only across the whole paragraph.,generalization,True,False,,SUSPECT,overreach,'Most inspirational of all time' is a superlative never made.,too_narrow,Wisdom is one word inside a quoted phrase.,,,wrong_location,Barks's translations are discussed in the previous paragraph.
autumn_2018,1,1,17,5,explicit_detail,True,,3,The last paragraph suggests that Rumi's poetry does all of the following except -,make people smile,express things that Rumi wished for,describe historical events,make people feel they have learned from Rumi,ordinal_position,p4,5,needs_paragraph,Negative item: each quality must be matched to a different phrase in the paragraph.,elimination_only,False,False,,SUSPECT,true_but_not_asked,Humour and playfulness are named explicitly.,true_but_not_asked,'Profound longing that readers can sense' supports it.,,,true_but_not_asked,Readers feel spoken to by an inspirational teacher.
autumn_2018,1,2,18,1,main_idea,False,,4,The main purpose of the text is to -,compare the missions of Sir David Attenborough and Boaty McBoatface,describe the work of NERC,present recent findings about the climate in the Antarctic,discuss Boaty McBoatface's contribution to scientific research,none,whole,99,no_locator,"Naming story, mission and climate findings must all be weighed for scope.",generalization,True,False,,SUSPECT,right_words_wrong_relation,Attenborough is the mother ship's name; missions are never compared.,too_narrow,NERC appears only in the naming episode.,too_narrow,Climate mechanism is the third paragraph alone.,,
autumn_2018,1,2,19,2,paragraph_purpose,False,,2,The main purpose of the first paragraph is to -,explain how a small submarine got its name,explain why NERC opted for Sir David Attenborough,discuss NERC's new polar research ship,describe the vessel called Boaty McBoatface,ordinal_position,p1,5,needs_paragraph,The naming outcome lands only in the fourth sentence; earlier sentences bait every other option.,generalization,True,True,Option 1 is correct: the paragraph's whole arc explains how the unmanned submarine ended up named Boaty McBoatface.,SUSPECT,,,too_narrow,Recorded key; the Attenborough honour is one subordinate clause.,too_narrow,"The research ship is the occasion, not the paragraph's payload.",too_narrow,"The submarine gets three adjectives, not a description."
autumn_2018,1,2,20,3,vocab_in_context,False,line 4,4,"In line 4, ""lent an air of lightheartedness to"" could best be restated as -",was a sign of respect for,showed the importance of,offered new information about,introduced an element of fun to,line_number,p1,1,yes_local,The contrast with 'a serious scientific endeavour' in the same clause fixes the sense.,paraphrase,False,False,,SUSPECT,right_words_wrong_relation,'In honour of' belongs to the Attenborough choice two lines later.,right_words_wrong_relation,Borrows 'serious scientific endeavour' and inverts the contrast.,not_stated,No informational sense is available for the phrase.,,
autumn_2018,1,2,21,4,inference,False,,1,It can be inferred from the second paragraph that the Orkney Passage -,reaches from the Southern Ocean to Antarctica,has become deeper and colder in recent years,had not been researched in detail before Boaty's maiden voyage,was difficult for Boaty to manoeuvre in,paragraph_number,p2,3,needs_paragraph,Dimensions sit in one sentence and the scientist's quote three sentences later; both are needed.,inference_one_step,True,True,Option 3 is correct: 'a much more detailed picture' plus surface ships' fixed-point limits imply it was not studied in detail before.,SUSPECT,contradiction,Recorded key; an 83-km passage 800 km away cannot reach Antarctica.,right_words_wrong_relation,"'Deepest and coldest' is a static description, not a recent change.",,,contradiction,Its manoeuvrability is precisely what made the mission work.
autumn_2018,1,2,22,5,explicit_detail,False,,,Which of the following best summarizes the process described in the third paragraph?,upper ocean layers become warmer → bottom water becomes warmer → ocean currents move faster → wind speeds increase,ocean temperatures increase → bottom water rises to the surface → bottom water travels to the equator → sea levels rise,ocean currents move faster → hot and cold water mix together → winds over the oceans become stronger → turbulence increases,winds blow faster → currents move faster → currents create more turbulence → bottom layers of ocean water become warmer,paragraph_number,p3,3,needs_paragraph,The causal chain is spread over two long sentences; order must be tracked across both.,synthesis,True,False,"Key missing; option 4 is correct: faster winds cause faster currents, which cause turbulence, which warms the bottom layers.",SUSPECT,right_words_wrong_relation,"Same four elements run backwards, ending in wind speed.",right_words_wrong_relation,Invents bottom water rising to the surface; sea levels are a later effect.,right_words_wrong_relation,Places wind after currents and turbulence after mixing.,,
autumn_2018,2,1,13,1,title,False,,4,A good title for this text would be -,Teenage Sleep Deprivation: Long-Term Effects,Sleep: Luxury or Biological Necessity?,The Teenage Sleep-Wake Clock: What Makes It Tick?,Melatonin: The Sleep-Promoting Hormone,none,whole,99,no_locator,Nothing to scan; the title must cover the biology and the school-hours consequence.,generalization,True,True,"Option 3 is correct: the text is about teenagers' distinct sleep-wake clock and its consequences, not about melatonin as such.",SUSPECT,not_stated,Long-term effects of teenage sleep loss are never discussed.,overreach,Lifts the opening clause and drops the teenage focus entirely.,,,too_narrow,Recorded key; melatonin is the mechanism in one paragraph.
autumn_2018,2,1,14,2,explicit_detail,False,,2,"According to the first paragraph, teenagers -",sleep more than adults or small children,are often not tired at night,tend to exercise very little,are too busy to go to bed early,ordinal_position,p1,1,yes_local,'cannot help being wakeful in the evening' answers it in one clause.,paraphrase,False,False,,SUSPECT,right_words_wrong_relation,"Adults and children appear in a clock comparison, not a quantity one.",,,right_words_wrong_relation,'Exercising' comes from the opening analogy about healthy habits.,contradiction,"The cause is stated as biological, not a matter of being busy."
autumn_2018,2,1,15,3,explicit_detail,False,,4,"According to the second paragraph, Mary Carskadon studied -",the amount of sleep teenagers actually need,irregular melatonin secretion,increased hormone levels in adolescents,a biological aspect of teenagers' sleep patterns,paragraph_number,p2,2,yes_local,'measured the levels of the sleep-promoting hormone melatonin in adolescents' is enough.,generalization,True,False,,SUSPECT,not_stated,How much sleep teenagers need is never studied here.,right_words_wrong_relation,The timing differs from adults'; nothing is called irregular.,half_true,She measured levels; no increase in hormone levels is reported.,,
autumn_2018,2,1,16,4,paragraph_purpose,False,,3,The main purpose of the last paragraph is to -,present the results of the research mentioned in line 1,challenge the study mentioned in line 11,suggest a solution to the conflict mentioned in line 15,discuss the learning potential mentioned in line 16,ordinal_position,p3,4,needs_paragraph,"Recommendation, adoption and results must be read together to see it as a solution.",generalization,True,False,,SUSPECT,wrong_location,"The line 1 research is general, not the source of these results.",contradiction,The paragraph applies Carskadon's finding rather than challenging it.,,,too_narrow,"Learning potential is the stated aim clause, not the purpose."
autumn_2018,2,1,17,5,explicit_detail,False,,3,"According to the text, teenagers suffer from sleep deprivation because -",they neglect their physical and emotional well-being,they refuse to go to sleep at an early hour,their biological rhythm conflicts with school hours,their bodies produce large amounts of melatonin,none,p1-p2,2,no_locator,Stem points nowhere; the 'conflict with the school bell' sentence closes paragraph two.,paraphrase,True,False,,SUSPECT,right_words_wrong_relation,"Physical and emotional harm are consequences, offered here as the cause.",contradiction,They cannot help being wakeful; refusal is not claimed.,,,right_words_wrong_relation,"Melatonin timing, not quantity, is what the study reports."
