exam,year,chapter,position,stem,opt1,opt2,opt3,opt4,official_key,stem_wc,correct_wc,ratio,rank_of_correct,correct_strictly_longest,correct_strictly_shortest,parity_deficit,conn_stem,conn_correct,quant_stem,commas,proper_nouns,hard_stem,hard_list,is_quote,correct_max_overlap,overlap_correct,overlap_max,mech_R,prox_P,g_list,clause_count,notes
autumn2024,2024,1,11,"Throughout his career, astrophysicist Charles Greeley Abbot sought to demonstrate that fluctuations in the Sun's energy emissions have a quantifiable effect on Earth's weather.","After many years of research, Abbot concluded that the forces that cause variations in the Sun's energy levels are also responsible for changes in the weather on Earth.",Abbot never managed to conclusively determine how energy released by the Sun influences Earth's weather.,Abbot spent his career arguing that the Sun's energy emissions have a negligible effect on the weather on Earth.,Abbot never stopped trying to prove that Earth's weather is measurably affected by changes in the Sun's energy output.,4,24,19,0.79,2,False,False,7.0,0,0,0,1,5,6,throughout;astrophysicist;demonstrate;fluctuations;emissions;quantifiable,False,False,6,9,"d1:R2R7,P3;d2:R2R1,P2;d3:R2,P1",,"1,3,8",3,
autumn2024,2024,1,12,"The works showcased at the International Exhibition of Modern Decorative and Industrial Arts, held in Paris in 1925, epitomized the Art Deco movement.",The 1925 International Exhibition of Modern Decorative and Industrial Arts in Paris was organized in order to promote Art Deco artists.,"The International Exhibition of Modern Decorative and Industrial Arts, held in Paris in 1925, featured exceptional Art Deco works.","The pieces which attracted the most attention at the International Exhibition of Modern Decorative and Industrial Arts, held in Paris in 1925, were those created in the Art Deco style.",The exhibits at the 1925 International Exhibition of Modern Decorative and Industrial Arts in Paris captured the essence of the Art Deco style. )‫,4,23,24,1.04,2,False,False,6.0,0,0,0,2,9,2,showcased;epitomized,False,False,8,10,"d1:R3R7,P2;d2:R7,P3;d3:R7R1,P3",,"1,6",2,
autumn2025,2025,1,9,"The Morikami Museum and Japanese Gardens is an oasis of tranquility in the heart of bustling Delray Beach, Florida.",Residents of Delray Beach take pride in the understated beauty that the Morikami Museum and Japanese Gardens lends their town.,Delray Beach was chosen as the site for the Morikami Museum and Japanese Gardens because of its sprawling landscape.,The Morikami Museum and Japanese Gardens is a peaceful spot in the middle of lively Delray Beach.,The magnificent Morikami Museum and Japanese Gardens is located in a busy suburb of Delray Beach.,3,19,17,0.89,3,False,False,2.7,0,0,0,1,7,1,tranquility,False,False,6,6,"d1:R3R6,P2;d2:R3R2,P1;d4:R7R1,P3",,"1,6",1,
autumn2025,2025,1,10,"During World War II, Prime Minister Winston Churchill's exceptional oratorical skills were instrumental in reassuring the despondent British public.",It was Churchill's extraordinary leadership that steered Britain through the most difficult years of World War II.,"During World War II, Churchill's remarkable rhetorical abilities played an important role in lifting the British public out of its despair.",Churchill's military experience reassured the British people that he was well suited to lead the country during World War II.,Churchill's inexhaustible optimism enabled him to soothe the fears of the British people throughout World War II.,2,19,21,1.11,1,True,False,2.3,0,0,0,1,8,4,oratorical;instrumental;reassuring;despondent,False,True,5,5,"d1:R7R5,P2;d3:R3R7,P2;d4:R7R3,P2",,"1,6",2,
autumn2025,2025,1,11,The maritime transport of pistachio nuts is subject to stringent packing and storing guidelines because these nuts have been known to self-ignite.,Pistachio nuts cultivated for export are genetically modified to extend their shelf life and withstand long-distance shipping.,"Special precautions must be taken when sorting, packaging, and transporting pistachio nuts as they can spoil very easily.","Pistachio nuts, which are very fragile, are carefully packed and stored so that they reach their destination undamaged.","Pistachio nuts can catch fire spontaneously, which is why the conditions under which they are shipped are strictly regulated.",4,22,19,0.86,1,True,False,1.3,1,0,0,0,0,4,pistachio;stringent;guidelines;self-ignite,False,False,2,2,"d1:R3,P1;d2:R7,P3;d3:R7R2,P3",,"1,3,6,7",2,
autumn2025,2025,1,12,Shah Jahan's opulent ways depleted the coffers of the Mughal Empire.,Shah Jahan's stubborn refusal to heed the warnings of his advisors led to the fall of the Mughal Empire.,Shah Jahan's extravagant lifestyle drained the Mughal Empire of its wealth.,"A brilliant military strategist, Shah Jahan doubled the size of the Mughal Empire.",The benevolence of Shah Jahan made him the most revered ruler of the Mughal Empire. )‫,2,11,11,1.0,4,False,True,5.0,0,0,0,0,3,0,,False,False,4,4,"d1:R3R2,P1;d3:R3,P1;d4:R2R3,P1",,"1,6",1,
autumn2025,2025,2,9,The number of people elected to the House of Representatives from each U.S. state is proportionate to the state's population.,Representatives from the largest states have a great deal of influence in the U.S. House of Representatives.,"Every U.S. state, regardless of its size, is represented in the House of Representatives.",The procedure for electing members to the U.S. House of Representatives differs from state to state.,"The larger the population of a U.S. state, the more representatives it has in the House of Representatives.",4,20,18,0.9,1,True,False,3.0,0,0,0,0,3,1,population,False,False,4,4,"d1:R7R5,P2;d2:R5R1,P2;d3:R7,P1",,"1,3,6",1,
autumn2025,2025,2,10,It was not a foregone conclusion that English would become the dominant spoken language in North America.,"Although North America has many native languages, English has long been the main official language.","Though English is spoken throughout North America, there are many regional variations in the language.",It was only natural that the English spoken in North America would develop unique characteristics over time.,The eventual emergence of English as the most widely spoken language in North America was far from inevitable.,4,17,18,1.06,1,True,False,1.7,0,0,0,0,3,1,conclusion,False,False,5,6,"d1:R7R5,P2;d2:R7,P2;d3:R2,P2",,"1,6,7",2,
autumn2025,2025,2,11,Carl Sandburg's use of colloquialisms in his poetry challenged the conventions of his day.,Poet Carl Sandburg favored everyday expressions over formal language.,The poetry of Carl Sandburg can teach us much about how language was used at the time.,Carl Sandburg went against accepted practice by using informal language in his poetry.,Carl Sandburg's original use of language was imitated by several of his contemporaries.,3,14,13,0.93,2,False,False,5.3,0,0,0,0,1,3,colloquialisms;challenged;conventions,False,False,2,2,"d1:R5,P2;d2:R7,P1;d4:R3R7,P2",,"1,6",1,
autumn2025,2025,2,12,Domestic and international investors are appropriating ever greater amounts of arable land in Mali.,Investors from several countries are competing for what is left of Mali's uninhabited land.,"In Mali, land that is suitable for farming is increasingly being lost to investors from home and abroad.",Much of the undeveloped land in Mali belongs to foreign investors or local government.,International and private investors have acquired much of Mali's prime real estate. )‫,2,14,18,1.29,1,True,False,2.3,0,0,0,0,1,3,international;investors;appropriating,False,False,3,3,"d1:R7R3,P2;d3:R7R5,P2;d4:R7,P2",,"1,2,6",1,
fall2021,2021,1,9,Studies suggest that the impact of climate change on economic output and human health has been underestimated.,Research indicates that climate change has a greater influence on productivity and on people's health than is generally thought.,It is difficult to calculate the damage climate change has done to the economy and to people's general well being.,Scientists have found that climate change has an impact on everything from job satisfaction to life expectancy.,There is evidence to suggest that climate change affects both the economy and public health. )‫,1,17,19,1.12,2,False,False,2.7,0,0,0,0,0,1,underestimated,False,False,4,5,"d2:R7,P2;d3:R3R5,P2;d4:R5,P2",,"1,6",2,
fall2021,2021,1,10,"Political corruption exists to some extent in every country, but in Italy it has been allowed to proliferate almost unhindered.","Although political corruption is considered a serious issue in most countries, in Italy it is not regarded as a major problem.","A certain amount of political corruption can be found in all countries, but in Italy almost nothing has been done to stop it from becoming widespread.",Political corruption has been allowed to continue unhindered in Italy for much longer than it has in any other country.,It has been harder to detect and eliminate political corruption in Italy than in any other country.,2,20,26,1.3,1,True,False,5.3,1,1,3,1,1,3,political;proliferate;unhindered,False,False,5,7,"d1:R2R1,P2;d3:R3R1,P3;d4:R7R1,P2",,"1,6",2,
fall2021,2021,1,11,"The illegal but lucrative trade in African rhino horn is driven by consumer demand in Asia, where the horn is used medicinally and is also fashioned into ornaments.","The use of African rhino horn is illegal in most parts of the world, but the horn is still marketed in Asia, where it is used to make medicines and fashion accessories.","Although trade in African rhino horn is unlawful, it is extremely profitable because the material is widely used in Asia to make medicines and decorative items.","Once commonly traded throughout Asia for making medicines and household objects, African rhino horn is now almost impossible to find.","In Asia, where it is believed to have both spiritual and healing powers, African rhino horn is sold for exceptionally high prices.",2,28,26,0.93,2,False,False,6.7,2,2,0,1,2,4,lucrative;medicinally;fashioned;ornaments,False,False,6,7,"d1:R6R3R5,P2;d3:R9R2,P1;d4:R3R5,P2",,"1,7",3,
fall2021,2021,1,12,Research has shown that an alligator's reproductive rate can be significantly increased if the reptile is provided with an optimal environment.,A recent study has shown that environmental factors may affect an alligator's reproductive rate.,It is now known that alligators bred in a controlled environment grow to a larger- than-average size.,It has been found that alligators living in ideal conditions produce many more offspring.,Alligators can thrive and reproduce only in certain types of surroundings. )‫,3,21,14,0.67,2,False,False,3.0,1,0,1,0,0,4,alligator's;reproductive;increased;environment,False,False,1,5,"d1:R1R3,P2;d2:R7,P2;d4:R1R2,P2",,"1,2,7",3,
fall2021,2021,2,9,Keratin is the principal component of reptilian scales.,Reptilian scales are the main source of keratin.,Keratin is commonly found in the scales of reptiles.,Most reptiles' scales contain keratin.,The scales of reptiles consist mainly of keratin.,4,8,8,1.0,2,False,False,3.3,0,0,1,0,0,2,component;reptilian,False,False,2,3,"d1:R2,P3;d2:R1,P2;d3:R1R6,P2",,"1,8,9",1,
fall2021,2021,2,10,The cautious seldom err. (Confucius),A life without risk is not worth living.,The brave rarely regret their actions.,"To succeed, one must be willing to fail.",Those who are careful make few mistakes.,4,4,7,1.75,3,False,False,1.7,0,0,1,0,0,0,,True,False,0,0,"d1:R2,P1;d2:R7,P2;d3:R2R3,P1",,"1,6,8",1,
fall2021,2021,2,11,"Initially lauded as revolutionary, the notion that in any given individual either the right or the left hemisphere of the brain is dominant has since been refuted.",The idea that in each person one hemisphere of the brain is stronger than the other was once considered groundbreaking but was later disproven.,"Once controversial, the theory that brain activity is divided equally between the right and left hemispheres is now an accepted fact.",Recent research has shown that it is possible to improve the functioning of the non-dominant hemisphere of one's brain.,Not all scientists believe that one hemisphere of a person's brain is weaker than the other.,1,27,24,0.89,1,True,False,5.3,1,2,0,1,0,1,hemisphere,False,False,3,4,"d2:R2,P2;d3:R3,P1;d4:R1R6,P2",,"1,3,7",3,
fall2021,2021,2,12,"In 1933, an overwhelming majority of voters in the state of Western Australia ratified a referendum calling for secession from the Commonwealth of Australia.","In 1933, a referendum in Western Australia sought to limit the Commonwealth of Australia's power over the state.","In a 1933 referendum, a majority of the population of the Commonwealth of Australia voted to admit the state of Western Australia into the country.","In 1933, a referendum held in Western Australia on whether or not to withdraw from the Commonwealth of Australia approved withdrawal by a large majority.","In a 1933 referendum, Western Australian voters rejected the proposal that their state join the Commonwealth of Australia. )‫",3,24,25,1.04,1,False,False,5.0,0,1,1,1,4,3,overwhelming;referendum;secession,False,False,6,6,"d1:R7R1,P2;d2:R6R2,P1;d4:R2R9,P2",,"1,3,9",2,
spring2024,2024,1,9,"For centuries, bars of salt – called amole – served as currency throughout Ethiopia.","Centuries ago, salt was a valuable commodity in Ethiopia.",Amole has been the currency of Ethiopia since ancient times.,Ethiopian salt was once prized all over the world.,Amole was an accepted means of payment in Ethiopia for centuries. )‫,4,14,12,0.86,1,True,False,1.3,0,0,0,1,1,2,centuries;throughout,False,False,3,3,"d1:R9R7,P2;d2:R9,P3;d3:R6,P1",,"1,4,5",2,
spring2024,2024,1,10,"Despite never having collaborated, Isaac Newton and Gottfried Leibniz share the credit for pioneering the branch of mathematics known as calculus.",Newton and Leibniz were the first mathematicians to recognize calculus as a separate branch of mathematics.,"The invention of calculus is attributed to both Newton and Leibniz, each of whom developed it independently.","Had they not shared their ideas about mathematics, neither Newton nor Leibniz would have discovered calculus.","To their credit, both Newton and Leibniz acknowledged each other's contribution to the field of calculus.",2,21,17,0.81,1,True,False,0.3,1,0,1,1,4,3,collaborated;pioneering;mathematics,False,False,3,5,"d1:R7,P2;d3:R2,P2;d4:R3R2,P2",,"2,6,9",2,
spring2024,2024,1,11,Horticulturists at England's East Malling Institute are utilizing conventional breeding techniques rather than genetic engineering to produce giant strawberries.,"By using genetic engineering instead of conventional breeding techniques, horticulturists at England's East Malling Institute could grow larger strawberries.","At the East Malling Institute in England, horticulturists are growing very large strawberries using conventional breeding methods, not genetic engineering.","According to horticulturists at England's East Malling Institute, giant strawberries can be produced using either conventional breeding techniques or genetic engineering.",Horticulturists at England's East Malling Institute have found that they can produce giant strawberries by using both genetic engineering and conventional breeding techniques.,2,19,20,1.05,3,False,False,2.3,1,0,0,0,4,3,horticulturists;utilizing;strawberries,False,False,9,13,"d1:R2R1,P3;d3:R1R6,P2;d4:R2,P2",,"1,7",1,
spring2024,2024,1,12,"The roots of opera can be traced to the Camerata, a group of Italian composers enamored of antiquity, who in the 16th century wrote music that emulated the tragic chorus in ancient Greek drama.","The Camerata, whose members were fascinated by the ancient world and whose works were modeled on the tragic Greek chorus, are considered the founders of opera.","The tragic Greek chorus, which was the inspiration for opera, was incorporated into the works of the Camerata, a group of Italian composers.",The operas composed by the Camerata in the 16th century were the first to abandon the rigid structure of the Greek chorus.,The enduring appeal of the operas written by the Camerata is a testimony to the impact of the ancient Greek chorus. )‫,1,34,26,0.76,1,True,False,1.7,0,0,0,2,3,1,antiquity,False,False,6,8,"d2:R6,P2;d3:R2R3,P2;d4:R3,P2",,"1,3,4,9",4,
spring2024,2024,2,9,"Every year, a hundred million monarch butterflies from across eastern North America converge on Mexico's Monarch Butterfly Biosphere Reserve, where they spend the winter.",A hundred million monarch butterflies come from all over eastern North America each year to Mexico's Monarch Butterfly Biosphere Reserve for the winter.,Mexico's Monarch Butterfly Biosphere Reserve was created as a winter habitat for the hundred million monarch butterflies of eastern North America.,"During the winter, Mexico's Monarch Butterfly Biosphere Reserve is home to a hundred million monarch butterflies, most of them from eastern North America.","Each year, a hundred million monarch butterflies arrive at Mexico's Monarch Butterfly Biosphere Reserve after spending the winter in eastern North America. )‫",1,24,23,0.96,1,False,False,2.0,1,0,1,2,7,1,butterflies,False,True,14,14,"d2:R3,P2;d3:R1,P3;d4:R2R9,P3",,"1,5,7",2,
spring2024,2024,2,10,"Brain cells that have died from old age, injury or disease cannot be regenerated – or so it was long assumed, until research began to indicate otherwise.","For many years, people thought that once brain cells died, they did not grow back; however, studies have begun to show that this is not the case.","Studies now suggest that old age, injury and disease cause brain cells to deteriorate much more quickly than was previously believed.",Recent research supports what has long been believed – brain cells that have died cannot be regenerated.,"Until research began to indicate otherwise, it was commonly assumed that brain cells damaged by old age, injury or disease could be repaired.",1,27,27,1.0,1,True,False,6.7,1,2,0,2,0,2,regenerated;otherwise,False,False,5,11,"d2:R7,P2;d3:R2,P3;d4:R2,P3",,"1,3,6,7",4,
spring2024,2024,2,11,"Given that the information regarding the final days of American author Edgar Allan Poe is fragmentary and contradictory, it is hard to imagine that there will ever be a completely satisfactory answer as to what caused his death.",The way in which Poe died will probably never be fully explained because the facts available are incomplete and inconsistent.,Recently discovered details about Poe's last days are being pieced together into a credible and persuasive theory about his death.,There is little consensus about the circumstances surrounding Poe's death.,The cause of Poe's death will remain a mystery until more is known about his final days.,1,38,20,0.53,1,False,False,9.0,0,1,1,1,4,6,information;regarding;fragmentary;contradictory;completely;satisfactory,False,False,1,4,"d2:R2,P1;d3:R5R1,P2;d4:R1,P3",,"1,3,6,7",4,
spring2024,2024,2,12,"Delivered in the waning months of the US Civil War, President Abraham Lincoln's second inaugural speech was notable for its brevity and its dispirited tone.","In the midst of the US Civil War, Lincoln gave his second inaugural speech, which was inspiring but restrained.","Towards the end of the US Civil War, Lincoln delivered his second inaugural speech, which was strikingly short and somber.","In his second inaugural speech, Lincoln displayed the same courage and vision that had proven vital during the US Civil War.","Lincoln's second inaugural speech, delivered shortly after the US Civil War, is remembered for its simplicity and its hopeful message. )‫",2,25,20,0.8,3,False,False,1.7,0,0,0,1,6,3,delivered;inaugural;dispirited,False,False,5,6,"d1:R9R2,P2;d3:R3,P1;d4:R9R2,P2",,"1,2,6,9",2,
spring2025,2025,1,9,Actress Lotte Lenya's rare film roles included her portrayal of Rosa Klebb in From Russia with Love.,Lotte Lenya was outstanding as Rosa Klebb in the film From Russia with Love.,From Russia with Love was the movie that established Lotte Lenya's reputation as a serious actress.,"Lotte Lenya played Rosa Klebb in From Russia with Love, one of the few movies in which the actress appeared.",The role of Lotte Lenya in From Russia with Love was played by Rosa Klebb. )‫,3,17,20,1.18,1,True,False,3.3,0,0,0,0,7,1,portrayal,False,False,8,8,"d1:R3R7,P2;d2:R3,P2;d4:R6,P3",,"3,6,9",1,
spring2025,2025,1,10,"Although the punctuation mark ending a sentence was referred to as a ""period"" in the Shakespearean era, that word eventually fell out of favour in England and was replaced by ""full stop"".","Shakespeare preferred the phrase ""full stop"" to the word ""period"", though the latter was more commonly used in his day.","At some point after Shakespeare's day, the English stopped referring to the punctuation mark at the end of a sentence as a period, preferring instead to call it a full stop.","Today, a period is used to indicate a full stop at the end of a sentence, but in Shakespeare's England, it had a different purpose.","The punctuation marks Shakespeare used to indicate the end of a sentence were later abandoned by the English in favour of the period, or full stop.",2,32,31,0.97,1,True,False,7.3,1,1,0,1,2,2,punctuation;eventually,False,False,6,6,"d1:R6R2,P2;d3:R7R3,P2;d4:R2R6,P2",,"2,3,6,7",3,
spring2025,2025,1,11,"The royal palace in Ugarit was one of the most imposing edifices in all of western Asia, rivaled only by the royal palace in Tyre.","The royal palace in Ugarit, the largest in western Asia, was modeled after the royal palace in Tyre.",No other buildings in western Asia were as magnificent as the royal palaces in Tyre and Ugarit.,The rulers of western Asia held court at the impressive palaces of Ugarit and Tyre.,"Ugarit and Tyre, both prosperous centers in western Asia, were home to an array of royal palaces.",2,25,17,0.68,2,False,False,2.3,0,0,3,1,3,0,,False,False,5,6,"d1:R1R7,P2;d3:R3R6,P1;d4:R6R1,P2",,"1,3,5,6",2,
spring2025,2025,1,12,"Ibn Khaldun, one of the leading Arab scholars of the 14th century, advanced economic theories that anticipated the work of much later thinkers.",Ibn Khaldun's innovative economic theories were not shared by other scholars of his time.,Ibn Khaldun's contributions to the field of economics were unparalleled.,Ibn Khaldun formulated economic theories that are still relevant today.,Ibn Khaldun put forth theories of economics that were far ahead of his time. )‫,4,23,15,0.65,1,True,False,3.0,0,0,0,2,2,0,,False,False,3,4,"d1:R7,P2;d2:R1,P2;d3:R9,P2",,"1,5,6",2,
spring2025,2025,2,9,The ancient Egyptians believed that the body had to remain intact in order to house the soul during the afterlife.,The ancient Egyptians built tombs to make the soul comfortable during the afterlife.,Ancient Egyptian burial practices were meant to ensure that the body and the soul would be reunited in the afterlife.,The ancient Egyptians believed that the soul continues to exist in the afterlife.,The ancient Egyptians believed that in the afterlife the soul could reside only in a body that was whole.,4,20,19,0.95,2,False,False,4.3,1,0,0,0,1,1,afterlife,False,True,7,7,"d1:R3R7,P1;d2:R7,P2;d3:R5,P2",,"1,3,8",2,
spring2025,2025,2,10,"Tigers, unlike most other predators, rely principally on their sense of sight rather than smell to track prey.","Many animals that hunt are guided to their prey by their sense of smell, but tigers depend mainly on their eyesight.",Tigers differ from other mammals in that they recognize one another on the basis of smell rather than sight.,The principal difference between tigers and other predators is that tigers use their sense of sight rather than smell when tracking prey.,Tigers are the only wild animals whose sense of sight is more developed than their sense of smell.,1,18,21,1.17,2,False,False,2.7,1,1,1,2,0,0,,False,False,5,10,"d2:R7R2,P2;d3:R1,P3;d4:R1R7,P2",,"1,4,6,7",1,
spring2025,2025,2,11,There is considerable overlap between the regions inhabited by the common raven and those inhabited by the American crow.,The common raven and the American crow thrive in similar environments.,The American crow is gradually being displaced by the common raven.,The common raven and the American crow are found largely in the same areas.,The habitats shared by the common raven and the American crow are rapidly shrinking.,3,19,14,0.74,1,False,False,2.0,0,0,0,0,1,2,inhabited;inhabited,False,False,4,4,"d1:R7,P2;d2:R2R3,P1;d4:R3,P1",,"1,2,5,6",1,
spring2025,2025,2,12,"The ancient city-state of Sparta – renowned for its warmongering ethos, rigid social hierarchy, and austerity – is widely regarded as the epitome of an authoritarian regime.","Many societies have attempted to emulate ancient Sparta's highly efficient system of government, which fostered a strong, secure, and superior society.","The distinguishing features of ancient Sparta, seen by many as the classic example of a dictatorship, were its militaristic character, inflexible social order, and minimalist way of life.",Ancient Sparta was the model of a disciplined and principled combative state capable of protecting its citizens from a multitude of threats.,"Ancient Sparta is remembered primarily as a society that spurned luxury in favor of hard work, strict ethics, and social accountability. )‫",2,27,28,1.04,1,True,False,3.0,0,0,0,2,1,4,city-state;warmongering;hierarchy;austerity,False,False,3,3,"d1:R3R2,P1;d3:R2,P2;d4:R5R7,P2",,"1,3,6",2,
summer2021,2021,1,9,"After their conquest of North Africa in the 15th century, the Ottoman Turks held sway over the region for almost four centuries.","In the 15th century, four hundred years of Ottoman Turkish rule in North Africa came to an end.","After controlling North Africa for four centuries, the Ottoman Turks were finally expelled in the 15th century.","Four hundred years after first attempting to conquer North Africa, the Ottoman Turks invaded the region in the 15th century.","The Ottoman Turks dominated North Africa for nearly four hundred years, beginning in the 15th century.",4,22,16,0.73,4,False,True,2.3,1,0,2,1,4,1,centuries,False,False,6,8,"d1:R9,P3;d2:R9,P3;d3:R9,P2",,"1,3,6,7",1,
summer2021,2021,1,10,The U.S. Census Bureau has reported that the most common language in the U.S. after English and Spanish is Chinese.,"Though most people in the U.S. speak English or Spanish, the number of Chinese speakers is growing, according to the U.S. Census Bureau.","A report by the U.S. Census Bureau states that in the U.S., Chinese is spoken almost as much as English and Spanish.","The U.S. Census Bureau lists English and Spanish as the most widely spoken languages in the U.S., followed by Chinese.","According to the U.S. Census Bureau, most English speakers in the U.S. also speak Spanish or Chinese.",3,20,20,1.0,3,False,False,4.7,1,0,1,0,6,0,,False,False,6,6,"d1:R3,P2;d2:R1,P2;d4:R6,P1",,"1,3,6",2,
summer2021,2021,1,11,"At one time it was believed that Mendel's theories were antithetical to those of Darwin, but that view has since been refuted.","Despite certain similarities, the ideas of Darwin and Mendel were inherently different in many respects.",The ideas advanced by Mendel and Darwin are no longer considered contradictory.,"At one point in his career, Mendel is thought to have concurred with Darwin's theories.",Mendel initially opposed many of Darwin's theories but eventually acknowledged their validity.,2,22,12,0.55,3,False,False,2.0,2,0,0,1,2,1,antithetical,False,False,1,2,"d1:R2,P2;d3:R6R7,P2;d4:R6R9,P2",,"1,5,6",3,
