blind_id,stem,opt1,opt2,opt3,opt4
11,Idleness is not always indicative of apathy.,Inaction is not necessarily a sign of indifference.,Indecisiveness should not be mistaken for incompetence.,Timidness is no excuse for laziness.,Being inconsiderate is never justifiable.
12,"Every year, a hundred million monarch butterflies from across eastern North America converge on Mexico's Monarch Butterfly Biosphere Reserve, where they spend the winter.",A hundred million monarch butterflies come from all over eastern North America each year to Mexico's Monarch Butterfly Biosphere Reserve for the winter.,Mexico's Monarch Butterfly Biosphere Reserve was created as a winter habitat for the hundred million monarch butterflies of eastern North America.,"During the winter, Mexico's Monarch Butterfly Biosphere Reserve is home to a hundred million monarch butterflies, most of them from eastern North America.","Each year, a hundred million monarch butterflies arrive at Mexico's Monarch Butterfly Biosphere Reserve after spending the winter in eastern North America. )‫"
13,"Delivered in the waning months of the US Civil War, President Abraham Lincoln's second inaugural speech was notable for its brevity and its dispirited tone.","In the midst of the US Civil War, Lincoln gave his second inaugural speech, which was inspiring but restrained.","Towards the end of the US Civil War, Lincoln delivered his second inaugural speech, which was strikingly short and somber.","In his second inaugural speech, Lincoln displayed the same courage and vision that had proven vital during the US Civil War.","Lincoln's second inaugural speech, delivered shortly after the US Civil War, is remembered for its simplicity and its hopeful message. )‫"
14,Noah Webster's widely lauded American English dictionaries represent but a fraction of his scholarly corpus.,Webster's groundbreaking American English dictionaries were but the first in a long line of highly regarded scholarly works.,Webster had a vast number of other scholarly accomplishments to his name besides his celebrated American English dictionaries.,The impact of Webster's American English dictionaries was overshadowed by his far-reaching influence in other scholarly fields.,"Faced with the immense task of preparing his American English dictionaries, Webster was compelled to set aside his many other scholarly projects."
15,The permanent shutdown of Greyhound bus service in Canada has exacerbated the accessibility problem faced by the country's rural communities.,Rural communities in Canada are protesting the closure of the Greyhound bus company.,Greyhound buses no longer service some of Canada's most remote locations due to poor infrastructure.,"Due to reduced demand among rural customers, the Greyhound bus company has cancelled many of its Canadian routes.",Travel has become even more difficult for people living in the Canadian countryside since Greyhound bus service was discontinued there.
16,"The popularity of paintings by Grandma Moses, an American artist who began to paint at the age of 77, may be attributed to a combination of factors: her advanced age, her enchanting evocations of rural life, and a national fascination with folk art.","The fact that she was so old, the delightful way she portrayed life in the country, and the strong interest of Americans in folk art all made Grandma Moses's paintings very popular.","Although Grandma Moses painted charming scenes of rural life for many years, her work became popular only after the American public learned to appreciate folk art.","Grandma Moses's advanced age and enchanting evocations of rural life made her paintings popular among many Americans, but she was never considered a great artist.","The declining popularity of Grandma Moses's paintings may be attributed to a combination of factors: her age, her emphasis on rural life, and decreasing national interest in folk art."
17,The poems of Phillis Wheatley are characterized by emotional restraint.,Most people are moved by Phillis Wheatley's poems.,Human emotions are the central theme of Phillis Wheatley's poetry.,Open expression of feeling is not evident in Phillis Wheatley's poetry.,Phillis Wheatley's poems describe her personal experiences. )‫
18,"In 729 B.C.E., Babylonia was annexed by the Assyrian Empire.","In 729 B.C.E., Babylonia gained its independence from the Assyrian Empire.",Babylonia was incorporated into the Assyrian Empire in 729 B.C.E.,"In 729 B.C.E., the Assyrian Empire extended all the way to Babylonia.",The rivalry between the Assyrian Empire and Babylonia peaked in 729 B.C.E. )‫
19,Nineteenth-century novelist Mary Ann Evans assumed the male pseudonym George Eliot to ensure that her works be given due consideration.,"The novels of Mary Ann Evans, also known as George Eliot, were written at a time when female authors were not given the attention they deserved.","Mary Ann Evans, fearing that her works would otherwise not be taken seriously, adopted the pen name George Eliot.",Mary Ann Evans was one of many female writers who had to adopt male names in order to have their works published.,Mary Ann Evans changed her name to George Eliot because she wanted her novels to appeal to a male audience.
20,"Having joined NATO in March 2004, the Baltic states promptly acceded to the European Union (EU), a sequence of events that infuriated Russian President Vladimir Putin.","The Baltic states' relationship with Putin, already strained when they joined the EU, completely collapsed when they applied to NATO in 2004.","The Baltic states were hesitant to become part of NATO and the EU in 2004, knowing that this would provoke Putin.","In defiance of Putin's protestations, the Baltic states initiated membership negotiations with the EU shortly after they had been accepted into NATO in 2004.",Putin was outraged when the Baltic states were admitted to the EU on the heels of becoming members of NATO in 2004. )‫
21,Few West European countries can claim France's linguistic diversity.,"Unlike some other West European countries, France has worked hard to preserve its linguistic traditions.",French is the second language of many West European countries.,French has been deeply influenced by the languages of other West European countries.,More languages are spoken in France than in most other West European countries. )‫
22,"Bermuda, a group of islands in the Atlantic Ocean, is a popular resort.",Bermuda is one of several islands in the Atlantic Ocean visited by tourists.,Bermuda is the most popular of all Atlantic island resorts.,The islands of Bermuda offer a wide variety of attractions.,Many people like to vacation on the islands of Bermuda.
23,"Condemnation by the Church notwithstanding, Donatism – a Christian sect – flourished during the fourth and fifth centuries.","The Donatists, Christians who had broken away from the Church, were active primarily during the fourth and fifth centuries.","Donatism is a Christian sect that thrived during the fourth and fifth centuries, despite being denounced by the Church.","Donatism, an influential sect in the fourth and fifth centuries, was subsequently rejected by the Church.","The fourth and fifth centuries were a time of uncertainty for the Donatist sect, which was persecuted by the Church."
24,Katie Mulcahey was the only person fined for violating a short-lived 1908 New York City ordinance that prohibited women from smoking in public.,New York City's 1908 ban against women smoking in public was overturned shortly after Katie Mulcahey was fined for violating the law.,Katie Mulcahey was the first person – but not the last – to defy a New York City law that made it illegal for women to smoke in public.,"In 1908, Katie Mulcahey was fined for protesting against a New York City regulation barring women from smoking in public.","During the brief time that New York City banned women from smoking in public, just one person – Katie Mulcahey – was fined for breaking the law. )‫"
25,"Despite never having collaborated, Isaac Newton and Gottfried Leibniz share the credit for pioneering the branch of mathematics known as calculus.",Newton and Leibniz were the first mathematicians to recognize calculus as a separate branch of mathematics.,"The invention of calculus is attributed to both Newton and Leibniz, each of whom developed it independently.","Had they not shared their ideas about mathematics, neither Newton nor Leibniz would have discovered calculus.","To their credit, both Newton and Leibniz acknowledged each other's contribution to the field of calculus."
26,"Reluctant to exploit the renown of his already successful brother George, Ira Gershwin began his lyric-writing career under the assumed name of Arthur Francis.",Ira Gershwin first wrote lyrics under the name Arthur Francis because he did not want to take advantage of his brother George's fame.,"Determined to make his own way as a lyric writer, Ira Gershwin affiliated himself with Arthur Francis rather than with his famous brother, George Gershwin.","In order to avoid being confused with his well-known brother George, Ira Gershwin took the name Arthur Francis when he first started his career as a lyric writer.",Ira Gershwin was so intimidated by his brother George's success as a lyric writer that he took the pen name Arthur Francis to avoid unfavorable comparisons.
27,Chinese poet Mei Sheng is credited with the introduction of the five-character poetic line.,"Mei Sheng's innovative poetic techniques, which include the five-character line, have been adopted by many Chinese poets.",Mei Sheng favored such poetic devices as the five-character line.,Mei Sheng is considered the first poet to have used the five-character line.,Mei Sheng used the five-character line more effectively than any other Chinese poet.
28,"The Morikami Museum and Japanese Gardens is an oasis of tranquility in the heart of bustling Delray Beach, Florida.",Residents of Delray Beach take pride in the understated beauty that the Morikami Museum and Japanese Gardens lends their town.,Delray Beach was chosen as the site for the Morikami Museum and Japanese Gardens because of its sprawling landscape.,The Morikami Museum and Japanese Gardens is a peaceful spot in the middle of lively Delray Beach.,The magnificent Morikami Museum and Japanese Gardens is located in a busy suburb of Delray Beach.
29,British historian John Anthony Crook is of the opinion that the high repute of Roman emperor Marcus Aurelius is misplaced.,Crook has expressed contradictory views of Marcus Aurelius' role in history.,Crook argues that Marcus Aurelius is one of the most misunderstood individuals in history.,"According to Crook, Marcus Aurelius is not deserving of his renown.",Crook argues that Marcus Aurelius has not been given the attention fitting for a figure of his stature.
30,The pace of construction in Tokyo is dizzying.,Tokyo is one of the busiest cities in the world.,Tokyo is being built up extremely rapidly.,Tokyo is at the forefront of innovative construction techniques.,Tokyo is encouraging the development of new industries.
31,Throughout the United States and Europe people flocked to Buffalo Bill's Wild West show.,Buffalo Bill's Wild West show appealed to audiences outside of the United States and Europe.,Buffalo Bill's Wild West show was particularly popular in the United States and Europe.,Buffalo Bill's Wild West show drew large crowds across the United States and Europe.,Buffalo Bill's Wild West show was performed throughout the United States and Europe.
32,The Opium Wars were precipitated by China's efforts to suppress the opium trade.,The Opium Wars broke out as a result of China's efforts to regulate the opium trade.,"China emerged victorious from the Opium Wars, thereby securing its domination of the opium trade.",China's strict control of the opium trade was undermined by the Opium Wars.,China's attempts to halt the opium trade were the catalyst for the Opium Wars. )‫
33,"Initially lauded as revolutionary, the notion that in any given individual either the right or the left hemisphere of the brain is dominant has since been refuted.",The idea that in each person one hemisphere of the brain is stronger than the other was once considered groundbreaking but was later disproven.,"Once controversial, the theory that brain activity is divided equally between the right and left hemispheres is now an accepted fact.",Recent research has shown that it is possible to improve the functioning of the non-dominant hemisphere of one's brain.,Not all scientists believe that one hemisphere of a person's brain is weaker than the other.
34,"Despite two decades of rapidly declining world food prices, the percentage of people in developing countries who are malnourished remains high.","During the past two decades, food prices have fallen in some parts of the world, but they remain high in many poor countries.","As a result of declining food prices over the past 20 years, fewer people in developing countries are malnourished.","While food prices throughout the world have fallen during the past 20 years, there are still many people in poor countries who do not have enough to eat.","Despite the fact that world food prices have declined over the last two decades, malnutrition in developing countries has actually increased. )‫"
35,"In the 1840s, women constituted the bulk of the labor force in New England's textile mills.","In the 1840s, women were not permitted to work in New England's textile mills.","In the 1840s, most of the women seeking work in New England found jobs in textile mills.","In the 1840s, most of New England's textile mill workers were women.","In the 1840s, New England's textile mills expanded their operations and began hiring women."
36,"For centuries, bars of salt – called amole – served as currency throughout Ethiopia.","Centuries ago, salt was a valuable commodity in Ethiopia.",Amole has been the currency of Ethiopia since ancient times.,Ethiopian salt was once prized all over the world.,Amole was an accepted means of payment in Ethiopia for centuries. )‫
37,Gold is virtually indestructible.,Gold is extremely difficult to find.,Gold almost never loses its value.,Gold is the most desirable metal.,Gold is nearly impossible to destroy.
38,"Achieving literacy in Japanese, which uses multiple alphabets, is a formidable undertaking for non-native speakers.",Japanese is not easy to write because each of the characters that make up the alphabet is so complex.,The Japanese alphabet consists of so many characters that non-native speakers find it almost impossible to master reading and writing.,"Because Japanese has more than one alphabet, speakers of other languages find learning to read and write the language very challenging.",People who study Japanese have trouble distinguishing among the language's many alphabets.
39,The state of Pennsylvania has one of the largest rural populations in the United States.,Most of the people in Pennsylvania are farmers.,Pennsylvania has more people living in rural areas than almost any other state.,Much of the land in Pennsylvania is used for farming.,The state of Pennsylvania is known for its large rural communities.
40,"The artistic genius of Vivian Maier was revealed only following her death, when her thousands of remarkable photographs came to light.",Vivian Maier's large collection of photographs was exhibited only after her death.,"The photographs of Vivian Maier, who died at the height of her career, reveal her unique artistic eye.",It wasn't until Vivian Maier died that her many extraordinary photographs were discovered and her great talent was acknowledged.,"Vivian Maier's thousands of photographs, most of which were taken towards the end of her life, are admired by many art critics."
