word,lemma,in_bank,bank_headword,level,zipf,sc_opt_exams,sc_opt_correct_exams,restatement_exams,rc_question_exams,exams_any_role,occurrences,weighted_score
cause,cause,0,,A2,5.35,3,2,20,2,53,146,192
give,give,0,,A1,5.71,3,1,22,4,51,142,192
show,show,0,,A1,5.68,3,0,18,5,50,156,184
place,place,0,,A1,5.71,3,0,12,4,53,116,153
form,form,0,,A1,5.31,3,2,16,0,47,92,139
provide,provide,0,,A2,5.15,3,1,15,3,45,78,132
despite,despite,0,,B1,5.0,3,2,15,1,42,63,109
decline,decline,1,decline,B2,4.4,3,2,16,0,23,39,84
case,case,0,,A2,5.55,3,0,8,1,29,51,78
offer,offer,0,,A2,5.05,3,0,7,1,31,45,78
perform,perform,0,,A2,4.68,3,1,6,3,26,37,75
damage,damage,1,damaging,B1,4.9,3,3,7,0,25,39,74
train,train,0,,A1,5.18,3,0,4,0,27,66,70
particularly,particularly,0,,B1,4.96,3,2,8,0,31,34,67
inspire,inspire,0,,B2,4.63,3,2,7,0,26,31,66
concern,concern,0,,B2,4.75,3,1,9,0,20,31,64
associate,associate,0,,B2,4.89,3,3,6,0,25,32,58
send,send,0,,A1,5.16,3,0,2,0,25,43,58
frequently,frequently,1,frequently,B1,4.56,3,1,10,0,20,24,55
attribute,attribute,1,attribute,C1,4.05,3,1,10,0,19,23,54
mark,mark,0,,A2,5.05,3,0,3,1,21,44,53
impact,impact,1,impact,B1,4.92,3,1,8,0,15,20,50
limit,limit,0,,B1,5.02,3,0,4,0,18,27,50
appeal,appeal,1,appealing,B2,4.67,3,0,9,0,16,18,49
addition,addition,0,,B1,5.01,3,2,1,1,24,29,44
profit,profit,0,,B1,4.7,3,0,4,0,18,20,42
tend,tend,0,,B1,4.57,3,1,4,0,17,20,41
join,join,0,,A1,5.0,3,1,4,1,15,17,41
prohibit,prohibit,1,prohibit,B2,3.99,3,2,5,0,14,17,41
previously,previously,1,previously,B1,4.83,3,0,6,0,12,15,41
bright,bright,0,,A2,4.61,3,0,5,0,14,18,41
compose,compose,1,compose,B2,4.27,3,0,4,0,13,18,41
devote,devote,1,devote,B2,4.18,3,0,2,0,17,18,40
praise,praise,0,,B2,4.31,3,1,4,0,13,17,39
strike,strike,1,striking,B2,4.66,3,2,1,0,15,19,38
account,account,0,,B1,5.21,3,1,4,0,13,17,37
exhibit,exhibit,1,exhibit,B2,4.16,3,0,3,2,13,15,37
exploit,exploit,1,exploit,B2,3.83,3,0,6,0,10,13,36
recommend,recommend,0,,A2,4.61,3,0,2,2,12,14,35
therefore,therefore,0,,B1,4.87,3,0,2,0,14,21,35
define,define,0,,B1,4.56,3,0,1,1,13,19,35
detect,detect,1,detect,B2,4.06,3,3,1,0,12,14,34
authority,authority,1,authority,B1,4.81,3,0,5,0,10,12,33
otherwise,otherwise,0,,B2,4.88,3,1,3,0,11,12,32
alone,alone,0,,A2,5.16,3,1,1,0,15,15,30
flow,flow,0,,B1,4.68,3,2,2,0,11,12,30
mechanism,mechanism,1,mechanism,B2,4.27,3,1,2,0,9,14,30
yield,yield,1,yield,C1,4.16,3,3,2,1,10,12,29
invest,invest,1,invested,B1,4.32,3,0,3,0,9,9,29
accuse,accuse,1,accused,B2,4.46,3,0,3,0,8,11,29
arrange,arrange,0,,A2,4.31,3,1,0,0,12,15,29
vision,vision,1,vision,B2,4.63,3,0,2,0,8,11,29
strange,strange,0,,A2,4.64,3,0,1,0,11,13,28
fund,fund,1,fund,B2,4.82,3,0,1,0,9,10,28
signal,signal,0,,B1,4.62,3,0,0,1,10,17,28
propose,propose,0,,B2,4.71,3,1,0,0,10,11,27
derive,derive,1,derive,B2,4.29,3,3,1,0,11,12,27
resist,resist,0,,B2,4.2,3,0,3,0,9,9,27
dispute,dispute,1,dispute,C1,4.27,3,2,0,0,11,11,26
delay,delay,0,,B2,4.4,3,0,3,0,7,9,26
deteriorate,deteriorate,1,deteriorate,C1,3.35,3,3,2,0,10,10,26
coin,coin,0,,B1,4.26,3,2,0,0,8,13,26
restrict,restrict,1,restrict,B2,4.19,3,2,0,1,9,12,26
navigate,navigate,0,,off~C1+,3.68,3,0,0,0,8,10,25
judge,judge,0,,B1,4.95,3,0,0,0,8,10,25
scene,scene,0,,A2,4.97,3,0,2,0,8,9,25
portray,portray,0,,C1,3.85,3,0,3,0,7,8,25
pigment,pigment,0,,off~C2,3.37,3,1,2,1,6,13,25
absorb,absorb,0,,B2,3.92,3,2,0,0,8,14,25
impress,impress,0,,B2,4.34,3,1,2,0,8,8,24
distinct,distinct,1,distinct,B2,4.29,3,3,0,1,9,10,24
deserve,deserve,0,,B2,4.59,3,0,2,0,7,8,24
inherit,inherit,1,inherit,B2,3.91,3,0,1,0,9,9,24
obsolete,obsolete,0,,off~C1+,3.65,3,1,1,1,8,9,24
remote,remote,0,,B1,4.41,3,0,1,0,7,8,23
forbid,forbid,0,,B2,3.96,3,0,1,0,6,8,23
appoint,appoint,1,appoint,C1,4.59,3,2,2,0,7,7,23
overthrow,overthrow,0,,off~C1+,3.61,3,0,2,0,5,6,23
identical,identical,1,identical,B2,4.21,3,1,1,0,6,8,23
suspend,suspend,1,suspended,B2,4.32,3,0,0,1,6,8,22
reverse,reverse,0,,C1,4.37,3,1,0,2,6,9,22
advise,advise,0,,B1,4.18,3,0,0,0,8,9,22
compromise,compromise,0,,C1,4.15,3,0,2,0,6,6,22
bound,bound,1,bound,B2,4.46,3,0,2,0,5,6,22
enchant,enchant,0,,off~C2,3.44,3,0,2,0,5,6,22
particle,particle,0,,off~C1,4.08,3,0,0,0,6,7,21
trend,trend,1,trend,B1,4.51,3,0,0,0,7,8,21
withdraw,withdraw,0,,B2,4.05,3,0,1,0,6,6,21
grade,grade,0,,B1,4.8,3,0,0,0,7,12,21
spite,spite,1,spite,B2,4.04,3,0,1,0,5,6,21
exclude,exclude,1,excluded,B2,3.89,3,0,2,0,5,5,21
futile,futile,0,,off~C2,3.39,3,0,2,0,5,5,21
scroll,scroll,0,,off~C1+,3.86,3,0,2,0,4,7,21
extract,extract,0,,B2,4.02,3,2,0,0,6,7,21
sensitive,sensitive,0,,B2,4.46,3,1,0,0,6,8,20
flee,flee,0,,C1,4.05,3,3,0,0,7,7,20
stun,stun,0,,B2,4.27,3,1,0,0,7,7,19
contest,contest,0,,B2,4.53,3,1,0,0,5,6,19
promotion,promotion,1,promotion,B2,4.41,3,0,0,0,5,7,19
classify,classify,0,,B2,4.26,3,3,0,0,4,7,19
hatch,hatch,0,,off~C1+,3.82,3,0,0,0,4,6,19
assert,assert,0,,C1,3.62,3,0,1,0,5,5,19
obey,obey,0,,B2,3.83,3,0,1,0,5,5,19
adorn,adorn,0,,off~C2,3.37,3,1,0,0,7,7,19
blend,blend,1,blend,C1,3.95,3,2,0,0,6,6,19
redeem,redeem,0,,off~C1+,3.53,3,0,1,0,3,4,18
abbreviation,abbreviation,0,,off~C2,3.14,3,1,0,0,5,5,18
postpone,postpone,0,,C1,3.74,3,0,1,0,4,4,18
spectacle,spectacle,0,,C1,3.61,3,0,0,0,6,7,18
expel,expel,0,,off~C1+,3.7,3,0,1,0,4,4,18
enlighten,enlighten,0,,off~C2,3.49,3,0,1,0,4,4,18
ignorant,ignorant,0,,off~C1,4.05,3,1,0,0,4,7,18
legislation,legislation,0,,C1,4.55,3,0,0,0,4,5,18
specimen,specimen,0,,C1,3.77,3,1,0,0,5,5,18
clan,clan,0,,off~C1+,3.97,3,0,0,0,4,19,18
allocate,allocate,0,,C1,3.83,3,1,0,0,5,5,18
flatter,flatter,0,,off~C2,3.46,3,0,1,0,4,4,18
deposit,deposit,0,,B2,4.24,3,1,0,0,5,5,18
articulate,articulate,0,,C1,3.54,3,0,0,0,4,5,18
bend,bend,0,,B1,4.13,3,0,0,0,5,5,17
accelerate,accelerate,0,,C1,3.75,3,0,0,0,5,5,17
perish,perish,0,,off~C2,3.32,3,0,0,0,4,4,17
graceful,graceful,0,,off~C2,3.39,3,1,0,0,4,4,17
barrier,barrier,0,,B2,4.15,3,0,0,0,4,4,16
pillar,pillar,0,,off~C1+,3.64,3,0,0,0,4,4,16
sanctuary,sanctuary,0,,off~C1+,3.93,3,2,0,0,4,4,16
borrow,borrow,0,,A2,4.0,3,1,0,0,4,4,16
patrol,patrol,0,,C1,4.14,3,0,0,0,4,4,16
privacy,privacy,0,,B2,4.36,3,0,0,0,4,4,16
hinder,hinder,0,,off~C2,3.39,3,2,0,0,4,4,16
solitude,solitude,0,,off~C2,3.42,3,0,0,0,4,4,16
license,license,0,,C1,4.52,3,0,0,0,4,4,16
exaggerate,exaggerate,0,,C1,3.68,3,0,0,0,4,4,16
fugitive,fugitive,0,,off~C1+,3.54,3,0,0,0,4,4,16
tilt,tilt,0,,off~C1+,3.66,3,0,0,0,4,4,16
magnify,magnify,0,,off~C2,3.0,3,0,0,0,4,4,16
omen,omen,0,,off~C2,3.12,3,0,0,0,4,4,16
penalty,penalty,0,,B2,4.45,3,0,0,0,4,4,16
captivity,captivity,0,,off~C1+,3.56,3,2,0,0,4,4,16
deceive,deceive,0,,off~C2,3.39,3,0,0,0,4,4,16
scarce,scarce,0,,off~C1+,3.61,3,2,0,0,4,4,16
regal,regal,0,,off~C2,3.34,3,0,0,0,3,3,15
disgrace,disgrace,0,,off~C1+,3.73,3,0,0,0,3,3,15
blaze,blaze,0,,off~C1+,3.69,3,1,0,0,3,3,15
fluent,fluent,0,,off~C1+,3.52,3,1,0,0,3,3,15
ascend,ascend,0,,off~C2,3.24,3,1,0,0,3,3,15
infidelity,infidelity,0,,off~C2,3.26,3,0,0,0,3,3,15
dispense,dispense,0,,off~C2,3.11,3,1,0,0,3,3,15
pretend,pretend,0,,B1,4.33,3,0,0,0,3,3,15
loathe,loathe,0,,off~C2,3.11,3,0,0,0,3,3,15
superstition,superstition,0,,off~C2,3.21,3,0,0,0,3,3,15
diagram,diagram,0,,B1,3.85,3,0,0,0,3,3,15
interrogate,interrogate,0,,off~C2,3.18,3,0,0,0,3,3,15
admonish,admonish,0,,off~C2,2.66,3,0,0,0,3,3,15
persuasion,persuasion,0,,off~C2,3.33,3,0,0,0,3,3,15
allege,allege,0,,C1,4.37,3,0,0,0,3,3,15
salvage,salvage,0,,off~C1+,3.65,3,2,0,0,3,3,15
obedient,obedient,0,,off~C2,3.19,3,0,0,0,3,3,15
overrule,overrule,0,,off~C2,3.12,3,0,0,0,3,3,15
linger,linger,0,,C1,3.31,3,1,0,0,3,3,15
crease,crease,0,,off~C2,3.31,3,0,0,0,3,3,15
reimburse,reimburse,0,,off~C2,3.06,3,0,0,0,3,3,15
recite,recite,0,,off~C2,3.28,3,0,0,0,3,4,15
mock,mock,0,,off~C1+,3.85,3,1,0,0,3,3,15
affluence,affluence,0,,off~C2,2.74,3,1,0,0,3,3,15
adversary,adversary,0,,off~C2,3.29,3,0,0,0,3,3,15
subordinate,subordinate,0,,off~C2,3.45,3,0,0,0,3,3,15
swiftly,swiftly,0,,off~C1+,3.54,3,1,0,0,3,3,15
blunder,blunder,0,,off~C2,3.13,3,0,0,0,3,3,15
deceptive,deceptive,0,,off~C2,3.34,3,0,0,0,3,3,15
sift,sift,0,,off~C2,3.02,3,0,0,0,3,3,15
damp,damp,0,,off~C1+,3.62,3,0,0,0,3,3,15
good,good,0,,A1,6.12,2,1,42,39,60,250,338
year,year,0,,A1,5.96,2,2,44,3,59,404,327
become,become,0,,A1,5.4,2,1,41,4,55,272,299
find,find,0,,A1,5.76,2,0,38,4,57,255,284
long,long,0,,A1,5.81,2,0,38,4,57,170,250
accord,accord,0,,off~B2,5.28,2,0,22,59,60,359,249
take,take,0,,A1,5.92,2,0,23,4,56,175,194
consider,consider,0,,A2,5.08,2,0,33,1,50,110,190
small,small,0,,A1,5.51,2,1,22,1,46,130,166
answer,answer,0,,A1,5.17,2,0,37,9,44,110,164
call,call,0,,A1,5.59,2,0,14,0,54,130,142
include,include,0,,A1,5.52,2,1,19,5,46,111,141
try,try,0,,A1,5.5,2,0,17,3,41,81,133
claim,claim,0,,B1,4.95,2,1,16,2,40,68,111
against,against,0,,A2,5.68,2,0,12,2,36,63,107
throughout,throughout,0,,B1,4.99,2,2,19,0,32,53,98
bring,bring,0,,A1,5.27,2,0,9,1,35,58,90
light,light,0,,A1,5.33,2,1,10,2,30,100,90
attempt,attempt,0,,B2,4.85,2,1,15,0,29,44,89
land,land,0,,A1,5.22,2,1,10,1,28,69,85
lose,lose,0,,A1,5.39,2,0,10,0,33,50,83
factor,factor,1,factors,A2,4.67,2,1,13,2,26,44,81
similar,similar,0,,A1,5.21,2,1,11,0,28,41,80
fall,fall,0,,A1,5.13,2,1,9,2,26,60,80
point,point,0,,A1,5.54,2,0,9,1,37,63,79
field,field,0,,A2,5.24,2,2,10,0,30,47,75
process,process,0,,A2,5.26,2,1,6,3,30,50,75
set,set,0,,B1,5.59,2,1,9,0,34,48,74
level,level,0,,A2,5.41,2,0,8,1,26,37,69
conduct,conduct,0,,B2,4.58,2,1,7,0,27,43,69
practice,practice,0,,A1,5.06,2,1,7,1,24,48,69
house,house,0,,A1,5.71,2,2,8,0,27,48,68
measure,measure,0,,B1,4.67,2,0,7,2,24,42,67
prevent,prevent,0,,A2,4.79,2,1,3,0,30,36,66
member,member,0,,A1,5.35,2,1,7,0,28,36,64
low,low,0,,A2,5.33,2,2,6,1,26,37,64
unlike,unlike,0,,B1,4.57,2,1,11,2,22,31,62
report,report,0,,A1,5.32,2,0,8,1,23,42,62
rate,rate,0,,A2,5.14,2,0,8,1,19,39,59
represent,represent,0,,B1,4.58,2,2,6,1,20,32,58
enjoy,enjoy,0,,A1,5.09,2,1,6,1,27,35,58
dangerous,dangerous,0,,A1,4.79,2,0,3,0,23,35,57
contribution,contribution,1,contribution,B2,4.34,2,2,8,0,18,26,54
fail,fail,0,,A2,4.82,2,0,8,0,18,28,54
quality,quality,0,,A2,5.11,2,1,8,0,20,28,53
relatively,relatively,0,,B2,4.66,2,1,6,0,20,30,53
respect,respect,0,,B1,5.03,2,0,4,1,20,30,53
raise,raise,0,,A2,4.84,2,0,4,0,21,38,52
individual,individual,1,individual,A2,5.0,2,0,6,0,23,30,51
seek,seek,1,sought,B2,4.61,2,2,7,0,21,24,51
quickly,quickly,0,,A1,5.0,2,0,7,0,18,25,50
serve,serve,0,,A2,4.85,2,2,5,0,23,29,50
except,except,0,,A2,5.02,2,0,3,12,19,24,50
course,course,0,,A1,5.44,2,2,5,0,20,29,49
observe,observe,0,,B2,4.39,2,2,6,0,20,25,49
construct,construct,1,constructed,B2,4.29,2,1,7,0,15,23,49
space,space,0,,A1,5.23,2,0,4,2,17,37,48
extensive,extensive,1,extensive,B2,4.49,2,2,6,0,19,22,47
eventually,eventually,0,,B1,4.88,2,1,2,0,30,42,47
current,current,0,,B1,5.27,2,0,2,0,20,29,46
finally,finally,0,,A2,5.17,2,0,6,0,19,24,46
favor,favor,0,,off~B2,4.58,2,0,8,1,15,18,46
experiment,experiment,1,experiments,A2,4.38,2,0,1,1,22,35,45
stand,stand,0,,A1,5.14,2,1,7,0,17,26,45
easily,easily,0,,A2,4.91,2,1,5,0,19,20,44
official,official,0,,B1,5.14,2,0,1,2,18,26,44
native,native,0,,B1,4.69,2,2,3,0,18,28,44
oppose,oppose,0,,B2,4.51,2,0,7,0,16,17,42
aim,aim,0,,B1,4.51,2,0,7,0,17,18,42
trade,trade,0,,B1,5.12,2,0,8,0,12,25,42
release,release,1,released,B1,5.09,2,0,1,1,18,27,41
mistake,mistake,0,,A1,4.67,2,1,4,1,15,18,41
puzzle,puzzle,1,puzzle,B2,3.96,2,1,5,0,16,31,41
rarely,rarely,0,,B1,4.42,2,0,4,0,18,19,40
risk,risk,0,,B1,5.05,2,0,5,0,16,17,40
foreign,foreign,0,,A2,5.08,2,0,5,0,14,19,39
refuse,refuse,0,,A2,4.54,2,0,5,1,15,16,39
bear,bear,0,,A2,4.71,2,2,2,0,16,33,39
predict,predict,1,predict,A2,4.12,2,0,6,0,16,17,39
divide,divide,0,,B1,4.47,2,1,3,1,16,22,38
single,single,0,,A2,5.41,2,1,3,0,19,22,37
impose,impose,1,imposed,B2,4.16,2,1,5,0,15,17,37
earn,earn,0,,A2,4.55,2,2,4,0,16,20,37
phrase,phrase,0,,A1,4.3,2,1,1,8,16,18,36
distinguish,distinguish,1,distinguish,B2,4.2,2,1,6,0,15,15,36
mystery,mystery,0,,B1,4.45,2,1,3,0,13,19,36
store,store,0,,A2,5.02,2,1,3,1,12,20,36
manage,manage,0,,A2,4.76,2,0,3,0,17,18,35
ignore,ignore,1,ignored,B1,4.48,2,0,3,1,10,16,35
beyond,beyond,0,,B2,4.98,2,0,2,1,16,19,34
smell,smell,0,,A2,4.49,2,0,3,0,10,17,34
care,care,0,,A2,5.56,2,1,1,0,17,20,34
warm,warm,0,,A1,4.71,2,2,2,0,13,21,34
medium,medium,0,,A2,5.3,2,0,3,1,12,19,34
landscape,landscape,0,,B2,4.36,2,2,2,0,14,18,34
severe,severe,0,,B2,4.56,2,1,2,0,12,15,33
award,award,0,,A2,4.88,2,1,5,0,12,15,33
address,address,0,,A1,4.91,2,0,2,0,15,17,33
breed,breed,1,breed,C1,4.08,2,1,4,0,9,15,32
adopt,adopt,0,,B2,4.51,2,1,3,0,13,15,32
solution,solution,0,,A2,4.84,2,0,2,0,14,15,32
waste,waste,0,,B1,4.81,2,0,4,0,11,19,32
prize,prize,0,,A2,4.59,2,1,4,0,12,14,32
capture,capture,0,,B2,4.44,2,1,1,0,13,16,31
intend,intend,0,,B1,4.7,2,1,3,1,13,14,31
manufacture,manufacture,1,manufacture,B2,4.13,2,0,2,0,11,14,30
attend,attend,0,,A2,4.55,2,0,1,0,13,19,30
imagine,imagine,0,,A1,4.92,2,0,4,1,12,13,30
refute,refute,0,,off~C2,3.14,2,2,6,0,8,9,30
sustain,sustain,1,sustain,C1,4.19,2,0,5,0,11,11,30
estimate,estimate,1,estimated,B2,4.62,2,1,2,0,17,18,30
preferred,preferr,0,,off~B2,4.35,2,0,6,0,9,10,30
cure,cure,0,,B2,4.32,2,0,0,0,12,20,30
transport,transport,1,transport,A2,4.68,2,0,2,1,9,14,30
alarm,alarm,0,,B1,4.28,2,0,3,0,10,12,29
promote,promote,1,promote,B1,4.56,2,0,3,0,12,13,29
investigate,investigate,1,investigating,B1,4.31,2,0,4,0,10,13,29
summarize,summarize,1,summarize,B1,3.23,2,0,1,3,9,12,29
cut,cut,0,,A1,5.24,2,0,0,0,15,19,28
habit,habit,0,,A2,4.24,2,0,1,1,9,29,28
feed,feed,0,,A2,4.67,2,0,2,0,10,14,28
deep,deep,0,,A2,5.05,2,1,2,0,13,15,28
rival,rival,1,rival,B2,4.18,2,2,5,0,7,9,28
declare,declare,0,,B2,4.55,2,0,3,0,12,12,28
secret,secret,0,,A2,4.92,2,0,2,0,11,13,27
drop,drop,0,,A2,4.99,2,1,2,0,10,13,27
exception,exception,1,exception,B2,4.35,2,0,4,0,8,9,27
opposition,opposition,0,,B2,4.57,2,0,3,0,7,10,27
extend,extend,0,,B2,4.64,2,0,3,0,9,11,27
collapse,collapse,1,collapse,B2,4.18,2,0,4,0,8,9,27
reserve,reserve,0,,B2,4.6,2,0,3,0,8,13,26
wing,wing,0,,B1,4.61,2,1,0,0,10,17,26
shortage,shortage,1,shortage,B2,3.91,2,1,1,0,9,10,26
graduate,graduate,0,,B1,4.5,2,0,2,0,8,16,26
analyze,analyze,1,analyze,off~C1+,3.9,2,2,1,0,10,13,26
imitate,imitate,0,,off~C2,3.29,2,1,4,0,9,9,26
confirm,confirm,1,confirmed,B1,4.67,2,0,3,0,10,11,26
melt,melt,0,,B2,3.96,2,0,2,0,9,14,26
neglect,neglect,1,neglect,C1,3.79,2,0,3,1,8,10,26
inside,inside,0,,A2,5.19,2,0,0,0,15,19,25
balance,balance,1,balanced,B1,4.76,2,0,0,0,9,15,25
link,link,1,linked,A2,4.99,2,0,2,0,9,11,25
volume,volume,1,volumes,B2,4.76,2,1,0,2,11,15,25
merely,merely,1,merely,C1,4.37,2,1,1,0,10,13,25
team,team,0,,A1,5.67,2,1,0,0,13,24,25
encounter,encounter,1,encountered,B2,4.26,2,0,1,0,11,12,25
lend,lend,0,,A2,3.92,2,0,1,2,9,12,25
reward,reward,0,,B2,4.33,2,0,1,0,10,20,25
gradually,gradually,0,,B2,4.21,2,1,4,0,8,8,25
behave,behave,0,,A2,4.0,2,0,1,0,10,11,24
empire,empire,1,empire,B2,4.54,2,1,2,0,8,9,24
transform,transform,1,transformed,B2,4.08,2,0,2,0,11,11,24
notion,notion,1,notion,B2,4.17,2,0,4,0,8,8,24
pull,pull,0,,A2,4.82,2,0,0,1,11,14,24
commit,commit,1,commit,B1,4.65,2,0,0,0,10,12,24
acquire,acquire,1,acquired,B2,4.4,2,0,2,0,9,12,24
discrimination,discrimination,1,discrimination,C1,4.31,2,1,2,0,7,11,24
profession,profession,0,,B1,4.13,2,1,1,0,9,13,24
win,win,0,,A1,5.39,2,1,2,0,8,11,24
behind,behind,0,,A1,5.29,2,0,1,1,8,11,23
desire,desire,0,,B2,4.61,2,0,1,0,11,12,23
network,network,0,,A2,5.02,2,2,2,0,7,10,23
ancestor,ancestor,1,ancestor,B2,3.98,2,2,1,0,8,13,23
fit,fit,0,,A2,4.95,2,0,1,0,10,12,23
