rank,word,band,zipf,sc_option_exams,was_correct_answer_in,restatement_exams,exams_any_role,content_exists_in_db
90,mock,מעל C1,3.85,3,1,0,3,0
91,affluence,מעל C1 (נדיר מאוד),2.74,3,1,0,3,1
92,adversary,מעל C1 (נדיר מאוד),3.29,3,0,0,3,0
93,subordinate,מעל C1 (נדיר מאוד),3.45,3,0,0,3,0
94,swiftly,מעל C1,3.54,3,1,0,3,0
95,blunder,מעל C1 (נדיר מאוד),3.13,3,0,0,3,0
96,deceptive,מעל C1 (נדיר מאוד),3.34,3,0,0,3,0
97,sift,מעל C1 (נדיר מאוד),3.02,3,0,0,3,0
98,damp,מעל C1,3.62,3,0,0,3,1
99,allege,C1,4.37,3,0,0,3,0
100,linger,C1,3.31,3,1,0,3,0
101,refute,מעל C1 (נדיר מאוד),3.14,2,2,6,8,0
102,imitate,מעל C1 (נדיר מאוד),3.29,2,1,4,9,1
103,emit,מעל C1 (נדיר מאוד),3.32,2,2,1,8,1
104,longevity,מעל C1,3.55,2,0,2,5,0
105,odor,מעל C1 (נדיר מאוד),3.49,2,0,1,7,0
106,fulfill,מעל C1,3.86,2,1,2,8,0
107,staple,מעל C1,3.68,2,1,0,7,1
108,abundant,מעל C1,3.77,2,1,2,6,1
109,prevalent,מעל C1,3.78,2,0,2,5,0
110,conquest,מעל C1,3.77,2,0,1,5,0
111,contaminate,מעל C1,3.7,2,0,0,6,0
112,sew,מעל C1,3.69,2,0,2,4,0
113,prolong,מעל C1,3.81,2,0,1,5,1
114,edict,מעל C1 (נדיר מאוד),3.1,2,0,2,3,0
115,edible,מעל C1,3.63,2,2,2,3,1
116,illiteracy,מעל C1 (נדיר מאוד),2.86,2,2,2,3,0
117,riddle,מעל C1 (נדיר מאוד),3.44,2,0,1,4,1
118,intruder,מעל C1 (נדיר מאוד),3.37,2,1,2,3,0
119,despair,מעל C1,3.82,2,0,2,4,0
120,emulate,מעל C1 (נדיר מאוד),3.41,2,1,2,4,0
121,plague,מעל C1,3.89,2,2,1,4,0
122,esteem,מעל C1,3.9,2,0,1,5,0
123,inhale,מעל C1 (נדיר מאוד),3.25,2,1,0,4,1
124,monarchy,מעל C1,3.67,2,1,1,5,0
125,fortress,מעל C1,3.77,2,1,0,5,0
126,imitation,מעל C1 (נדיר מאוד),3.47,2,0,1,5,1
127,plentiful,מעל C1 (נדיר מאוד),3.36,2,2,0,4,1
128,convene,מעל C1 (נדיר מאוד),3.4,2,1,0,4,1
129,omit,מעל C1,3.53,2,1,1,4,0
130,recognizable,מעל C1 (נדיר מאוד),3.45,2,1,1,4,0
131,mutually,מעל C1,3.68,2,0,1,4,0
132,impulse,מעל C1,3.72,2,0,0,5,0
133,tangible,מעל C1,3.66,2,1,0,4,0
134,revolve,מעל C1 (נדיר מאוד),3.41,2,0,0,3,1
135,continuously,מעל C1,3.97,2,1,1,3,0
136,dim,מעל C1,3.62,2,0,0,3,0
137,fragrance,מעל C1,3.53,2,0,1,3,1
138,pedal,מעל C1,3.64,2,0,0,3,0
139,resemblance,מעל C1,3.59,2,2,0,3,0
140,narrate,מעל C1 (נדיר מאוד),3.29,2,0,1,3,1
141,reinstate,מעל C1 (נדיר מאוד),3.35,2,1,1,3,0
142,pious,מעל C1 (נדיר מאוד),3.31,2,0,1,3,0
143,crane,מעל C1,3.92,2,0,0,3,0
144,resentment,מעל C1,3.61,2,0,1,3,1
145,defiance,מעל C1 (נדיר מאוד),3.48,2,0,1,3,0
146,hallmark,מעל C1 (נדיר מאוד),3.37,2,0,1,3,1
147,fluctuate,מעל C1 (נדיר מאוד),3.0,2,0,0,3,1
148,siege,מעל C1,3.93,2,1,0,3,1
149,commemorate,מעל C1 (נדיר מאוד),3.49,2,2,0,4,0
150,portable,מעל C1,3.97,2,0,0,4,1
151,orchard,מעל C1,3.57,2,0,0,3,1
152,ignite,מעל C1 (נדיר מאוד),3.35,2,0,0,3,0
153,tolerant,מעל C1,3.58,2,0,0,3,0
154,elusive,מעל C1 (נדיר מאוד),3.47,2,2,0,4,0
155,upheaval,מעל C1 (נדיר מאוד),3.13,2,0,0,4,0
156,wardrobe,מעל C1,3.8,2,0,0,3,0
157,synonym,מעל C1 (נדיר מאוד),3.21,2,1,0,3,0
158,tremble,מעל C1 (נדיר מאוד),3.27,2,0,0,3,1
159,enclose,מעל C1,3.74,2,0,0,3,0
160,collectively,מעל C1,3.82,2,1,0,3,0
161,clasp,מעל C1 (נדיר מאוד),3.1,2,0,0,3,0
162,quiz,מעל C1,3.82,2,0,0,3,0
163,envious,מעל C1 (נדיר מאוד),3.22,2,0,0,3,0
164,contraction,מעל C1 (נדיר מאוד),3.46,2,0,0,3,0
165,attire,מעל C1 (נדיר מאוד),3.49,2,1,0,3,0
166,artificially,מעל C1 (נדיר מאוד),3.44,2,0,0,3,1
167,peg,מעל C1 (נדיר מאוד),3.49,2,0,0,3,0
168,sterile,מעל C1 (נדיר מאוד),3.43,2,1,0,2,0
169,erratic,מעל C1 (נדיר מאוד),3.34,2,1,0,2,0
170,dormant,מעל C1 (נדיר מאוד),3.41,2,0,0,2,0
171,interrogation,מעל C1,3.56,2,0,0,2,0
172,intimidation,מעל C1 (נדיר מאוד),3.39,2,0,0,2,0
173,nuisance,מעל C1 (נדיר מאוד),3.5,2,1,0,2,1
174,blunt,מעל C1,3.9,2,0,0,2,0
175,scenic,מעל C1,3.67,2,1,0,2,0
176,gratify,מעל C1 (נדיר מאוד),3.07,2,0,0,2,0
177,refund,מעל C1,3.94,2,0,0,2,1
178,tense,מעל C1,3.95,2,0,0,2,0
179,affluent,מעל C1 (נדיר מאוד),3.37,2,0,0,2,1
180,politely,מעל C1 (נדיר מאוד),3.47,2,0,0,2,1
181,prolific,מעל C1,3.6,2,1,0,2,0
182,affirm,מעל C1 (נדיר מאוד),3.2,2,0,0,2,0
183,adore,מעל C1,3.7,2,0,0,2,0
184,disguise,מעל C1,3.72,2,0,0,2,1
185,fling,מעל C1 (נדיר מאוד),3.33,2,0,0,2,0
186,numb,מעל C1,3.53,2,0,0,2,0
187,legible,מעל C1 (נדיר מאוד),2.8,2,0,0,2,0
188,latitude,מעל C1,3.57,2,0,0,2,0
189,illuminate,מעל C1 (נדיר מאוד),3.5,2,0,0,2,0
190,detour,מעל C1 (נדיר מאוד),3.2,2,0,0,2,0
191,deduct,מעל C1 (נדיר מאוד),3.16,2,0,0,2,0
192,ripe,מעל C1,3.67,2,0,0,2,1
193,accomplice,מעל C1 (נדיר מאוד),3.22,2,0,0,2,0
194,banish,מעל C1 (נדיר מאוד),3.39,2,1,0,2,1
195,weary,מעל C1,3.61,2,0,0,2,0
196,conditionally,מעל C1 (נדיר מאוד),2.52,2,0,0,2,0
197,comfortably,מעל C1,3.74,2,0,0,2,0
198,defer,מעל C1,3.54,2,0,0,2,0
199,urgency,מעל C1,3.55,2,0,0,2,0
200,bundle,מעל C1,3.93,2,0,0,2,0
201,legislate,מעל C1 (נדיר מאוד),3.01,2,0,0,2,0
202,inoffensive,מעל C1 (נדיר מאוד),2.56,2,0,0,2,0
203,rebuke,מעל C1 (נדיר מאוד),3.1,2,0,0,2,1
204,paste,מעל C1,3.91,2,0,0,2,0
205,enviously,מעל C1 (נדיר מאוד),1.9,2,0,0,2,0
206,trample,מעל C1 (נדיר מאוד),3.07,2,0,0,2,1
207,urgently,מעל C1 (נדיר מאוד),3.48,2,0,0,2,1
208,conspicuous,מעל C1 (נדיר מאוד),3.35,2,0,0,2,0
209,reverent,מעל C1 (נדיר מאוד),2.46,2,0,0,2,0
210,reap,מעל C1,3.53,2,0,0,2,0
211,pacify,מעל C1 (נדיר מאוד),2.73,2,0,0,2,0
212,rehearse,מעל C1 (נדיר מאוד),2.94,2,0,0,2,1
213,shrill,מעל C1 (נדיר מאוד),2.88,2,0,0,2,0
214,deposited,מעל C1,3.64,2,0,0,2,1
215,detach,מעל C1,3.79,2,0,0,2,0
216,reprimand,מעל C1 (נדיר מאוד),2.9,2,0,0,2,1
217,rift,מעל C1,3.64,2,0,0,2,0
218,relent,מעל C1 (נדיר מאוד),2.71,2,1,0,2,0
219,versatile,מעל C1,3.66,2,2,0,2,0
220,observant,מעל C1 (נדיר מאוד),3.05,2,0,0,2,0
221,resentful,מעל C1 (נדיר מאוד),2.97,2,0,0,2,0
222,sober,מעל C1,3.94,2,0,0,2,0
223,decadent,מעל C1 (נדיר מאוד),3.04,2,0,0,2,0
224,finite,מעל C1,3.75,2,1,0,2,0
225,receptive,מעל C1 (נדיר מאוד),3.32,2,0,0,2,0
226,refresh,מעל C1,3.83,2,0,0,2,0
227,rash,מעל C1,3.67,2,0,0,2,0
228,creed,מעל C1,3.7,2,0,0,2,0
229,sip,מעל C1,3.67,2,0,0,2,0
230,assimilate,מעל C1 (נדיר מאוד),3.07,2,0,0,2,0
231,disperse,מעל C1 (נדיר מאוד),3.5,2,0,0,2,1
232,reclaim,מעל C1 (נדיר מאוד),3.44,2,1,0,2,0
233,stale,מעל C1 (נדיר מאוד),3.43,2,0,0,2,1
234,condense,מעל C1 (נדיר מאוד),3.4,2,0,0,2,0
235,relapse,מעל C1 (נדיר מאוד),3.32,2,0,0,2,0
236,facade,מעל C1 (נדיר מאוד),3.42,2,0,0,2,0
237,punctuate,מעל C1 (נדיר מאוד),2.98,2,0,0,2,0
238,demolish,מעל C1,3.52,2,2,0,2,1
239,elevation,מעל C1,3.9,2,1,0,2,0
240,irate,מעל C1 (נדיר מאוד),2.78,2,0,0,2,0
241,oversight,מעל C1,3.83,2,0,0,2,0
242,transgress,מעל C1 (נדיר מאוד),2.34,2,0,0,2,1
243,contemplation,מעל C1 (נדיר מאוד),3.15,2,0,0,2,0
244,congestion,מעל C1,3.66,2,1,0,2,0
245,yawn,מעל C1 (נדיר מאוד),3.07,2,0,0,2,1
246,discreet,מעל C1 (נדיר מאוד),3.43,2,0,0,2,0
247,applause,מעל C1,3.83,2,0,0,2,1
248,accompaniment,מעל C1 (נדיר מאוד),3.22,2,2,0,2,0
249,rinse,מעל C1 (נדיר מאוד),3.48,2,0,0,2,0
250,indignant,מעל C1 (נדיר מאוד),2.86,2,0,0,2,0
251,furnish,מעל C1,3.65,2,0,0,2,1
252,innocently,מעל C1 (נדיר מאוד),2.88,2,0,0,2,0
253,proficiency,מעל C1 (נדיר מאוד),3.43,2,1,0,2,0
254,conveniently,מעל C1,3.58,2,0,0,2,0
255,confidentially,מעל C1 (נדיר מאוד),2.61,2,0,0,2,0
256,taunt,מעל C1 (נדיר מאוד),2.96,2,0,0,2,0
257,recline,מעל C1 (נדיר מאוד),2.91,2,0,0,2,0
258,pounce,מעל C1 (נדיר מאוד),2.97,2,0,0,2,0
259,abduction,מעל C1 (נדיר מאוד),3.43,2,0,0,2,0
260,proclamation,מעל C1 (נדיר מאוד),3.44,2,0,0,2,0
261,heresy,מעל C1 (נדיר מאוד),3.35,2,0,0,2,0
262,renovation,מעל C1,3.74,2,2,0,2,0
263,trance,מעל C1 (נדיר מאוד),3.49,2,1,0,2,1
264,negligent,מעל C1 (נדיר מאוד),3.33,2,0,0,2,0
265,mitigate,מעל C1,3.54,2,1,0,2,0
266,tranquil,מעל C1 (נדיר מאוד),3.14,2,1,0,2,0
267,congregate,מעל C1 (נדיר מאוד),2.92,2,0,0,2,1
268,immortal,מעל C1,3.77,2,0,0,2,0
269,omniscient,מעל C1 (נדיר מאוד),2.71,2,0,0,2,0
270,jubilant,מעל C1 (נדיר מאוד),2.63,2,0,0,2,0
271,mediocre,מעל C1,3.52,2,1,0,2,0
272,ponder,מעל C1 (נדיר מאוד),3.35,2,1,0,2,0
273,compress,מעל C1,3.62,2,0,0,2,0
274,vowel,מעל C1 (נדיר מאוד),3.33,2,1,0,2,0
275,feign,מעל C1 (נדיר מאוד),2.65,2,1,0,2,0
276,wholesome,מעל C1,3.51,2,0,0,2,0
277,martyr,מעל C1 (נדיר מאוד),3.46,2,0,0,2,0
278,afflict,מעל C1 (נדיר מאוד),3.29,2,0,0,2,0
279,nutritious,מעל C1 (נדיר מאוד),3.18,2,1,0,2,1
280,predicament,מעל C1 (נדיר מאוד),3.28,2,0,0,2,1
